Product Name,SKU,Category,Category,Filling,Weight,
DUCK FEATHER & FOAM,BULK,MIX FILL,BULK,MIX FILL,,
100% DUCK FEATHER,BULK,FEATHER,BULK,FEATHER,,
FEATHER & FIBRE,BULK,MIX FILL,BULK,MIX FILL,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,DOWN,BULK,DOWN,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,DOWN,BULK,DOWN,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,DOWN,BULK,DOWN,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,DOWN,BULK,DOWN,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,DOWN,BULK,DOWN,,
FEATHER/FIBRE/DOWN,BULK,MIX FILL,BULK,MIX FILL,,
230CM COTTON JAPARA,BULK,JAPARA,BULK,JAPARA,,
SINGLE BED CASSETTE CASE,,,CASES,,,
DOUBLE BED CASSETTE CASE,,,CASES,,,
QUEEN CASSETTE CASE,,,CASES,,,
KING CASSETTE CASE,,,CASES,,,
SUPER KING CASSETTE CASE,,,CASES,,,
SINGLE BED CHANNEL CASE,,,CASES,,,
DOUBLE BED CHANNEL CASE,,,CASES,,,
QUEEN CHANNEL CASE,,,CASES,,,
KING CHANNEL CASE,,,CASES,,,
SUPER KING CHANNEL CASE,,,CASES,,,
30X55CM,INSE-001,INSERTS,INSERTS,100% Feather,Normal,
30X55CM,INSE-001,INSERTS,INSERTS,100% Feather,Firm Fill,
30X55CM,INSE-001,INSERTS,INSERTS,100% Feather,Extra Firm Fill,
30X55CM,INSE-001,INSERTS,INSERTS,Duck Feather - Foam,Normal,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Fibre,Normal,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,100% Polyester,Normal,
30X55CM ,INSE-001,INSERTS,INSERTS,100% Polyester,Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,30% Down 70% Feather,Normal,
30X55CM ,INSE-001,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,30% Down 70% Feather,Extra Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,50% Down 50% Feather,Normal,
