Product Name,SKU,Category,Category,Filling,Weight, Customer Price ,
DUCK FEATHER & FOAM,BULK,MIX FILL,BULK,MIX FILL,,$9.00 ,
100% DUCK FEATHER,BULK,FEATHER,BULK,FEATHER,,$9.00 ,
FEATHER & FIBRE,BULK,MIX FILL,BULK,MIX FILL,,$10.00 ,
15% DUCK DOWN 85% DUCK FEATHER,BULK,DOWN,BULK,DOWN,,$18.00 ,
30% DUCK DOWN 70% DUCK FEATHER,BULK,DOWN,BULK,DOWN,,$26.00 ,
50% DUCK DOWN 50% DUCK FEATHER,BULK,DOWN,BULK,DOWN,,$46.00 ,
80% DUCK DOWN 20% DUCK FEATHER,BULK,DOWN,BULK,DOWN,,$81.00 ,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,DOWN,BULK,DOWN,,$135.00 ,
FEATHER/FIBRE/DOWN,BULK,MIX FILL,BULK,MIX FILL,,$35.00 ,
230CM COTTON JAPARA,BULK,JAPARA,BULK,JAPARA,,$10.00 ,
SINGLE BED CASSETTE CASE,,,CASES,,,$24.00 ,
DOUBLE BED CASSETTE CASE,,,CASES,,,$30.00 ,
QUEEN CASSETTE CASE,,,CASES,,,$35.00 ,
KING CASSETTE CASE,,,CASES,,,$40.00 ,
SUPER KING CASSETTE CASE,,,CASES,,,$52.00 ,
SINGLE BED CHANNEL CASE,,,CASES,,,$24.00 ,
DOUBLE BED CHANNEL CASE,,,CASES,,,$30.00 ,
QUEEN CHANNEL CASE,,,CASES,,,$35.00 ,
KING CHANNEL CASE,,,CASES,,,$40.00 ,
SUPER KING CHANNEL CASE,,,CASES,,,$50.00 ,
30X55CM,INSE-001,INSERTS,INSERTS,100% Feather,Normal,$14.50 ,
30X55CM,INSE-001,INSERTS,INSERTS,100% Feather,Firm Fill,$15.10 ,
30X55CM,INSE-001,INSERTS,INSERTS,100% Feather,Extra Firm Fill,$15.70 ,
30X55CM,INSE-001,INSERTS,INSERTS,Duck Feather - Foam,Normal,$16.00 ,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,$16.60 ,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,$17.20 ,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Fibre,Normal,$16.00 ,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,$16.60 ,
30X55CM ,INSE-001,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$17.20 ,
30X55CM ,INSE-001,INSERTS,INSERTS,100% Polyester,Normal,$16.00 ,
30X55CM ,INSE-001,INSERTS,INSERTS,100% Polyester,Firm Fill,$16.60 ,
30X55CM ,INSE-001,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,$17.20 ,
30X55CM ,INSE-001,INSERTS,INSERTS,30% Down 70% Feather,Normal,$27.50 ,
30X55CM ,INSE-001,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,$30.10 ,
30X55CM ,INSE-001,INSERTS,INSERTS,30% Down 70% Feather,Extra Firm Fill,$32.70 ,
30X55CM ,INSE-001,INSERTS,INSERTS,50% Down 50% Feather,Normal,$36.80 ,
30X55CM ,INSE-001,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,$39.40 ,
30X55CM ,INSE-001,INSERTS,INSERTS,50% Down 50% Feather,Extra Firm Fill,$42.00 ,
30X55CM ,INSE-001,INSERTS,INSERTS,80% Down 20% Feather,Normal,$52.50 ,
30X55CM ,INSE-001,INSERTS,INSERTS,80% Down 20% Feather,Firm Fill,$55.10 ,
30X55CM ,INSE-001,INSERTS,INSERTS,80% Down 20% Feather,Extra Firm Fill,$57.70 ,
40X40CM,INSE-002,INSERTS,INSERTS,100% Feather,Normal,$9.20 ,
40X40CM,INSE-002,INSERTS,INSERTS,100% Feather,Firm Fill,$9.80 ,
40X40CM,INSE-002,INSERTS,INSERTS,100% Feather,Extra Firm Fill,$10.40 ,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Foam,Normal,$11.00 ,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,$11.60 ,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,$12.20 ,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Fibre,Normal,$11.00 ,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,$11.60 ,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$12.20 ,
40X40CM,INSE-002,INSERTS,INSERTS,100% Polyester,Normal,$11.00 ,
40X40CM,INSE-002,INSERTS,INSERTS,100% Polyester,Firm Fill,$11.60 ,
40X40CM,INSE-002,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,$12.20 ,
40X40CM,INSE-002,INSERTS,INSERTS,30% Down 70% Feather,Normal,$19.00 ,
40X40CM,INSE-002,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,$21.60 ,
40X40CM,INSE-002,INSERTS,INSERTS,30% Down 70% Feather,Extra Firm Fill,$24.20 ,
40X40CM,INSE-002,INSERTS,INSERTS,50% Down 50% Feather,Normal,$27.00 ,
40X40CM,INSE-002,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,$29.60 ,
40X40CM,INSE-002,INSERTS,INSERTS,50% Down 50% Feather,Extra Firm Fill,$32.20 ,
40X40CM,INSE-002,INSERTS,INSERTS,80% Down 20% Feather,Normal,$44.00 ,
40X40CM,INSE-002,INSERTS,INSERTS,80% Down 20% Feather,Firm Fill,$46.60 ,
40X40CM,INSE-002,INSERTS,INSERTS,80% Down 20% Feather,Extra Firm Fill,$49.20 ,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Feather,Normal,$10.50 ,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Feather,Firm Fill,$11.10 ,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Feather,Extra Firm Fill,$11.70 ,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Foam,Normal,$12.00 ,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,$12.60 ,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,$13.20 ,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Fibre,Normal,$12.00 ,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,$12.60 ,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$13.20 ,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Polyester,Normal,$12.00 ,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Polyester,Firm Fill,$12.60 ,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,$13.20 ,
45X45CM ,INSE-003,INSERTS,INSERTS,30% Down 70% Feather,Normal,$23.50 ,
45X45CM ,INSE-003,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,$26.10 ,
45X45CM ,INSE-003,INSERTS,INSERTS,30% Down 70% Feather,Extra Firm Fill,$28.70 ,
45X45CM ,INSE-003,INSERTS,INSERTS,50% Down 50% Feather,Normal,$32.80 ,
45X45CM ,INSE-003,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,$35.40 ,
45X45CM ,INSE-003,INSERTS,INSERTS,50% Down 50% Feather,Extra Firm Fill,$38.00 ,
45X45CM ,INSE-003,INSERTS,INSERTS,80% Down 20% Feather,Normal,$48.50 ,
45X45CM ,INSE-003,INSERTS,INSERTS,80% Down 20% Feather,Firm Fill,$51.10 ,
45X45CM ,INSE-003,INSERTS,INSERTS,80% Down 20% Feather,Extra Firm Fill,$53.70 ,
40X80CM,INSE-004,INSERTS,INSERTS,100% Feather,Normal,$19.00 ,
40X80CM,INSE-004,INSERTS,INSERTS,100% Feather,Firm Fill,$19.60 ,
40X80CM,INSE-004,INSERTS,INSERTS,100% Feather,Extra Firm Fill,$20.20 ,
40X80CM,INSE-004,INSERTS,INSERTS,Duck Feather - Foam,Normal,$21.25 ,
