Product Name,Category,Sku,Filling,Weight, Customer Price 
DUCK FEATHER & FOAM,BULK,CASTLE-1,MIX FILL,,$9.00
100% DUCK FEATHER,BULK,CASTLE0,FEATHER,,$9.00
FEATHER & FIBRE,BULK,CASTLE1,MIX FILL,,$10.00
15% DUCK DOWN 85% DUCK FEATHER,BULK,CASTLE2,DOWN,,$18.00
30% DUCK DOWN 70% DUCK FEATHER,BULK,CASTLE3,DOWN,,$26.00
50% DUCK DOWN 50% DUCK FEATHER,BULK,CASTLE4,DOWN,,$46.00
80% DUCK DOWN 20% DUCK FEATHER,BULK,CASTLE5,DOWN,,$81.00
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,CASTLE6,DOWN,,$135.00
FEATHER/FIBRE/DOWN,BULK,CASTLE7,MIX FILL,,$35.00
230CM COTTON JAPARA,BULK,CASTLE8,JAPARA,,$10.00
SINGLE BED CASSETTE CASE,CASES,CASTLE9,CASES,,$24.00
DOUBLE BED CASSETTE CASE,CASES,CASTLE10,CASES,,$30.00
QUEEN CASSETTE CASE,CASES,CASTLE11,CASES,,$35.00
KING CASSETTE CASE,CASES,CASTLE12,CASES,,$40.00
SUPER KING CASSETTE CASE,CASES,CASTLE13,CASES,,$52.00
SINGLE BED CHANNEL CASE,CASES,CASTLE14,CASES,,$24.00
DOUBLE BED CHANNEL CASE,CASES,CASTLE15,CASES,,$30.00
QUEEN CHANNEL CASE,CASES,CASTLE16,CASES,,$35.00
KING CHANNEL CASE,CASES,CASTLE17,CASES,,$40.00
SUPER KING CHANNEL CASE,CASES,CASTLE18,CASES,,$50.00
38cm round 15% down insert no boarder,INSERTS,CASTLE19,15% DOWN,,11.55
50cm round x 6cm border 15% down insert,INSERTS,CASTLE20,15% DOWN,,17.85
52 x 30 x 3cm 15% down inserts 850grms,INSERTS,CASTLE21,15% DOWN,,13.65
28 x 28cm 15% down inserts 300grsm,INSERTS,CASTLE22,15% DOWN,,8.4
35cm Round x 3cm border 15% down inserts,INSERTS,CASTLE23,15% DOWN,,13.1
43 x 43cm 15% down inserts,INSERTS,CASTLE24,15% DOWN,,11.55
SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE25,Duck,,$82.00
SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE26,Goose,,$102.50
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE27,Duck,,$115.50
DOUBLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE28,Goose,,$126.50
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE29,Duck,,95
KING SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE30,Goose,,107
QUEEN - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE31,Duck,,122.5
QUEEN - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE32,Goose,,154
KING - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE33,Duck,,138.5
KING - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,CASTLE34,Goose,,180
DOUBLE - MICROSOFT,MICROSOFT,CASTLE35,Polyester,,$60.00
KING - MICROSOFT,MICROSOFT,CASTLE36,Polyester,,$75.50
QUEEN - MICROSOFT,MICROSOFT,CASTLE37,Polyester,,$67.00
SINGLE - MICROSOFT,MICROSOFT,CASTLE38,Polyester,,$47.50
STANDARD 100% FEATHER PILLOW,PIPED PILLOWS,CASTLE39,100% Feather,Duck,$23.00
STANDARD 30% DUCK DOWN PILLOW,PIPED PILLOWS,CASTLE40,30% Down 70% Feather,Duck,$37.00
STANDARD 50% DUCK DOWN PILLOW,PIPED PILLOWS,CASTLE41,50% Down 50% Feather,Duck,$46.00
STANDARD 80% DUCK DOWN PILLOW,PIPED PILLOWS,CASTLE42,80% Down 20% Feather,Duck,$69.00
STANDARD 80% GOOSE DOWN PILLOW,PIPED PILLOWS,CASTLE43,80% Down 20% Feather,Goose,$109.50
QUEEN 100% FEATHER PILLOW,PIPED PILLOWS,CASTLE44,100% Feather,Duck,$26.00
QUEEN 30% DUCK DOWN PILLOW,PIPED PILLOWS,CASTLE45,30% Down 70% Feather,Duck,$60.50
QUEEN 50% DUCK DOWN PILLOW,PIPED PILLOWS,CASTLE46,50% Down 50% Feather,Duck,$84.00
