Product Name,Category,Sku,Filling,Weight,PRICES,Unnamed: 6
20 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 1,Duck Feather,Normal,29.30,
20 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 1,Duck Feather,Firm Fill,29.90,
20 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 1,Duck Feather,Extra Firm Fill,30.50,
30 x 115cm duck feather,CUSTOM INSERTS,CUSTINNERS - 2,Duck Feather,Normal,31.30,
30 x 115cm duck feather,CUSTOM INSERTS,CUSTINNERS - 2,Duck Feather,Firm Fill,31.90,
30 x 115cm duck feather,CUSTOM INSERTS,CUSTINNERS - 2,Duck Feather,Extra Firm Fill,32.50,
30 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 3,Duck Feather,Normal,50.25,
30 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 3,Duck Feather,Firm Fill,50.85,
30 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 3,Duck Feather,Extra Firm Fill,51.45,
30 x 150cm duck feather,CUSTOM INSERTS,CUSTINNERS - 4,Duck Feather,Normal,61.50,
30 x 150cm duck feather,CUSTOM INSERTS,CUSTINNERS - 4,Duck Feather,Firm Fill,62.10,
30 x 150cm duck feather,CUSTOM INSERTS,CUSTINNERS - 4,Duck Feather,Extra Firm Fill,62.70,
30 x 30cm duck feather,CUSTOM INSERTS,CUSTINNERS - 5,Duck Feather,Normal,13.20,
30 x 30cm duck feather,CUSTOM INSERTS,CUSTINNERS - 5,Duck Feather,Firm Fill,13.80,
30 x 30cm duck feather,CUSTOM INSERTS,CUSTINNERS - 5,Duck Feather,Extra Firm Fill,14.40,
30 x 40cm duck feather,CUSTOM INSERTS,CUSTINNERS - 6,Duck Feather,Normal,13.20,
30 x 40cm duck feather,CUSTOM INSERTS,CUSTINNERS - 6,Duck Feather,Firm Fill,13.80,
30 x 40cm duck feather,CUSTOM INSERTS,CUSTINNERS - 6,Duck Feather,Extra Firm Fill,14.40,
30 x 45cm duck feather,CUSTOM INSERTS,CUSTINNERS - 7,Duck Feather,Normal,13.20,
30 x 45cm duck feather,CUSTOM INSERTS,CUSTINNERS - 7,Duck Feather,Firm Fill,13.80,
30 x 45cm duck feather,CUSTOM INSERTS,CUSTINNERS - 7,Duck Feather,Extra Firm Fill,14.40,
30 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 8,Duck Feather,Normal,14.50,
30 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 8,Duck Feather,Firm Fill,15.10,
30 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 8,Duck Feather,Extra Firm Fill,15.70,
30 x 80cm duck feather,CUSTOM INSERTS,CUSTINNERS - 9,Duck Feather,Normal,16.65,
30 x 80cm duck feather,CUSTOM INSERTS,CUSTINNERS - 9,Duck Feather,Firm Fill,17.25,
30 x 80cm duck feather,CUSTOM INSERTS,CUSTINNERS - 9,Duck Feather,Extra Firm Fill,17.85,
33 x 33cm duck feather,CUSTOM INSERTS,CUSTINNERS - 10,Duck Feather,Normal,13.20,
33 x 33cm duck feather,CUSTOM INSERTS,CUSTINNERS - 10,Duck Feather,Firm Fill,13.80,
33 x 33cm duck feather,CUSTOM INSERTS,CUSTINNERS - 10,Duck Feather,Extra Firm Fill,14.40,
35 x 100cm duck feather,CUSTOM INSERTS,CUSTINNERS - 11,Duck Feather,Normal,27.00,
35 x 100cm duck feather,CUSTOM INSERTS,CUSTINNERS - 11,Duck Feather,Firm Fill,27.60,
35 x 100cm duck feather,CUSTOM INSERTS,CUSTINNERS - 11,Duck Feather,Extra Firm Fill,28.20,
35 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 12,Duck Feather,Normal,46.25,
35 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 12,Duck Feather,Firm Fill,46.85,
35 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 12,Duck Feather,Extra Firm Fill,47.45,
