Product Name,Category,SKU,Filling,Weight,Customer Price,,,
Single/King Single 50/50 blanket silver,BLANKET,Ecolin1,BLANKET,,56.00,,,
Double/Queen 50/50 blanket silver,BLANKET,Ecolin2,BLANKET,,70.00,,,
King/Super King 50/50 blanket silver,BLANKET,Ecolin3,BLANKET,,81.00,,,
Single/King Single 50/50 blanket gold,BLANKET,Ecolin4,BLANKET,,56.00,,,
Double/Queen 50/50 blanket gold,BLANKET,Ecolin5,BLANKET,,70.00,,,
King/Super King 50/50 blanket gold,BLANKET,Ecolin6,BLANKET,,81.00,,,
Single 50 Duck Cassette,DUCK WINTER,Ecolin7,DUCK,,88.00,,,
Double 50 duck cassette,DUCK WINTER,Ecolin8,DUCK,,99.00,,,
Queen 50% duck down cassette,DUCK WINTER,Ecolin9,DUCK,,115.50,,,
King 50% duck down cassette,DUCK WINTER,Ecolin10,DUCK,,132.00,,,
Super King 50% duck down cassette,DUCK WINTER,Ecolin11,DUCK,,159.50,,,
Single 80 Duck Cassette 800g,DUCK WINTER,Ecolin12,DUCK,,115.50,,,
Double 80% duck down cassette 1000g,DUCK WINTER,Ecolin13,DUCK,,132.00,,,
Queen 80% duck down cassette 1200g,DUCK WINTER,Ecolin14,DUCK,,154.00,,,
King 80% duck down cassette 1400g,DUCK WINTER,Ecolin15,DUCK,,176.00,,,
Super King 80% duck down cassette 1800g,DUCK WINTER,Ecolin16,DUCK,,253.00,,,
Single Bed 80% goosedown cassette,GOOSE WINTER,Ecolin17,GOOSE,,176.00,,,
Double 80 Goosedown Cassette,GOOSE WINTER,Ecolin18,GOOSE,,203.50,,,
Queen 80% goosedown cassette,GOOSE WINTER,Ecolin19,GOOSE,,236.50,,,
King 80% goosedown cassette,GOOSE WINTER,Ecolin20,GOOSE,,269.50,,,
Super King 80% goosedown cassette,GOOSE WINTER,Ecolin21,GOOSE,,363.00,,,
Single 80% Hungarian Goosedown Cassette,HUNGARIAN WINTER ,Ecolin22,HUNGARIAN,,192.50,,,
Double 80% Hungarian Goosedown Cassette,HUNGARIAN WINTER ,Ecolin23,HUNGARIAN,,236.50,,,
Queen 80% Hungarian Goosedown Cassette,HUNGARIAN WINTER ,Ecolin24,HUNGARIAN,,280.50,,,
King 80% Hungarian Goosedown Cassette,HUNGARIAN WINTER ,Ecolin25,HUNGARIAN,,330.00,,,
Super King 80% Hungarian Goosedown Cassette,HUNGARIAN WINTER ,Ecolin26,HUNGARIAN,,418.00,,,
Single 4 Seasons duck Cassette,4 SEASON,Ecolin27,DUCK,,150.15,,,
Double 4 Seasons Duck Cassette,4 SEASON,Ecolin28,DUCK,,174.90,,,
Queen 4 Seasons Duck Cassette,4 SEASON,Ecolin29,DUCK,,204.60,,,
King 4 Seasons Duck Cassette,4 SEASON,Ecolin30,DUCK,,231.00,,,
Super King 4 Seasons Duck Cassette,4 SEASON,Ecolin31,DUCK,,308.00,,,
Single 4 Seasons Goose Cassette,4 SEASON,Ecolin32,GOOSE,,198.00,,,
Double 4 Seasons Goose Cassette,4 SEASON,Ecolin33,GOOSE,,225.50,,,
Queen 4 Seasons Goose Cassette,4 SEASON,Ecolin34,GOOSE,,269.50,,,
King 4 Seasons Goose Cassette,4 SEASON,Ecolin35,GOOSE,,291.50,,,
Super King 4 Seasons Goose Cassette,4 SEASON,Ecolin36,GOOSE,,374.00,,,
