Product Name,Category,SKU,Filling,Weight,Customer Price,,
30X50CM,INSERTS,JENB-0,100% Feather,Extra Firm Fill,$13.80,,
35X50CM,INSERTS,JENB001,100% Feather,Extra Firm Fill,$15.10,,
60X50CM,INSERTS,JENB002,100% Feather,Extra Firm Fill,$17.25,,
34X58CM,INSERTS,JENB003,100% Feather,Extra Firm Fill,$16.10,,
45X70CM,INSERTS,JENB004,100% Feather,Extra Firm Fill,$18.25,,
30X55CM,INSERTS,JENB005,100% Feather,Normal,$14.50,,
30X55CM,INSERTS,JENB006,100% Feather,Extra Firm Fill,15.1,,
30X55CM,INSERTS,JENB007,Duck Feather - Foam,Normal,$16.00,,
30X55CM,INSERTS,JENB008,Duck Feather - Foam,Firm Fill,16.6,,
30X55CM,INSERTS,JENB009,Duck Feather - Foam,Extra Firm Fill,17.2,,
30X55CM,INSERTS,JENB010,Duck Feather - Fibre,Normal,$16.00,,
30X55CM,INSERTS,JENB011,Duck Feather - Fibre,Firm Fill,16.6,,
30X55CM,INSERTS,JENB012,Duck Feather - Fibre,Extra Firm Fill,17.2,,
30X55CM,INSERTS,JENB013,100% Polyester,Normal,$16.00,,
30X55CM,INSERTS,JENB014,100% Polyester,Firm Fill,16.6,,
30X55CM,INSERTS,JENB015,100% Polyester,Extra Firm Fill,17.2,,
30X55CM,INSERTS,JENB016,30% Down 70% Feather,Normal,$27.50,,
30X55CM,INSERTS,JENB017,30% Down 70% Feather,Firm Fill,30.1,,
30X55CM,INSERTS,JENB018,30% Down 70% Feather,Extra Firm Fill,32.7,,
30X55CM,INSERTS,JENB019,50% Down 50% Feather,Normal,$36.80,,
30X55CM,INSERTS,JENB020,50% Down 50% Feather,Firm Fill,39.4,,
30X55CM,INSERTS,JENB021,50% Down 50% Feather,Extra Firm Fill,42,,
30X55CM,INSERTS,JENB022,80% Down 20% Feather,Normal,$52.50,,
30X55CM,INSERTS,JENB023,80% Down 20% Feather,Firm Fill,55.1,,
30X55CM,INSERTS,JENB024,80% Down 20% Feather,Extra Firm Fill,57.7,,
40X40CM,INSERTS,JENB025,100% Feather,Normal,$9.20,,
40X40CM,INSERTS,JENB026,100% Feather,Extra Firm Fill,9.8,,
40X40CM,INSERTS,JENB027,Duck Feather - Foam,Normal,$11.00,,
40X40CM,INSERTS,JENB028,Duck Feather - Foam,Firm Fill,11.6,,
40X40CM,INSERTS,JENB029,Duck Feather - Foam,Extra Firm Fill,12.2,,
40X40CM,INSERTS,JENB030,Duck Feather - Fibre,Normal,$11.00,,
40X40CM,INSERTS,JENB031,Duck Feather - Fibre,Firm Fill,11.6,,
40X40CM,INSERTS,JENB032,Duck Feather - Fibre,Extra Firm Fill,12.2,,
40X40CM,INSERTS,JENB033,100% Polyester,Normal,$11.00,,
40X40CM,INSERTS,JENB034,100% Polyester,Firm Fill,11.6,,
40X40CM,INSERTS,JENB035,100% Polyester,Extra Firm Fill,12.2,,
40X40CM,INSERTS,JENB036,30% Down 70% Feather,Normal,$19.00,,
40X40CM,INSERTS,JENB037,30% Down 70% Feather,Firm Fill,21.6,,
40X40CM,INSERTS,JENB038,30% Down 70% Feather,Extra Firm Fill,24.2,,
40X40CM,INSERTS,JENB039,50% Down 50% Feather,Normal,$27.00,,
40X40CM,INSERTS,JENB040,50% Down 50% Feather,Firm Fill,29.6,,
40X40CM,INSERTS,JENB041,50% Down 50% Feather,Extra Firm Fill,32.2,,
40X40CM,INSERTS,JENB042,80% Down 20% Feather,Normal,$44.00,,
40X40CM,INSERTS,JENB043,80% Down 20% Feather,Firm Fill,46.6,,
40X40CM,INSERTS,JENB044,80% Down 20% Feather,Extra Firm Fill,49.2,,
45X45CM,INSERTS,JENB045,100% Feather,Normal,$10.50,,
45X45CM,INSERTS,JENB046,100% Feather,Extra Firm Fill,11.1,,
45X45CM,INSERTS,JENB047,Duck Feather - Foam,Normal,$12.00,,
45X45CM,INSERTS,JENB048,Duck Feather - Foam,Firm Fill,12.6,,
45X45CM,INSERTS,JENB049,Duck Feather - Foam,Extra Firm Fill,13.2,,
45X45CM,INSERTS,JENB050,Duck Feather - Fibre,Normal,$12.00,,
45X45CM,INSERTS,JENB051,Duck Feather - Fibre,Firm Fill,12.6,,
45X45CM,INSERTS,JENB052,Duck Feather - Fibre,Extra Firm Fill,13.2,,
45X45CM,INSERTS,JENB053,100% Polyester,Normal,$12.00,,
45X45CM,INSERTS,JENB054,100% Polyester,Firm Fill,12.6,,
45X45CM,INSERTS,JENB055,100% Polyester,Extra Firm Fill,13.2,,
45X45CM,INSERTS,JENB056,30% Down 70% Feather,Normal,$23.50,,
45X45CM,INSERTS,JENB057,30% Down 70% Feather,Firm Fill,26.1,,
45X45CM,INSERTS,JENB058,30% Down 70% Feather,Extra Firm Fill,28.7,,
45X45CM,INSERTS,JENB059,50% Down 50% Feather,Normal,$32.80,,
45X45CM,INSERTS,JENB060,50% Down 50% Feather,Firm Fill,35.4,,
45X45CM,INSERTS,JENB061,50% Down 50% Feather,Extra Firm Fill,38,,
45X45CM,INSERTS,JENB062,80% Down 20% Feather,Normal,$48.50,,
