Product Name,Category,SKU,Filling,Weight,Customer Price,,,
DUCK FEATHER & FOAM,BULK,JB1,MIX FILL,,$9.00,,,
100% DUCK FEATHER,BULK,JB2,FEATHER,,$9.00,,,
FEATHER & FIBRE,BULK,JB3,MIX FILL,,$10.00,,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,JB4,DOWN,,$18.00,,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,JB5,DOWN,,$26.00,,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,JB6,DOWN,,$46.00,,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,JB7,DOWN,,$81.00,,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,JB8,DOWN,,$135.00,,,
FEATHER/FIBRE/DOWN,BULK,JB9,MIX FILL,,$35.00,,,
230CM COTTON JAPARA,BULK,JB10,JAPARA,,$10.00,,,
SINGLE BED CASSETTE CASE,CASES,JB11,CASES,,$24.00,,,
DOUBLE BED CASSETTE CASE,CASES,JB12,CASES,,$30.00,,,
QUEEN CASSETTE CASE,CASES,JB13,CASES,,$35.00,,,
KING CASSETTE CASE,CASES,JB14,CASES,,$40.00,,,
SUPER KING CASSETTE CASE,CASES,JB15,CASES,,$52.00,,,
SINGLE BED CHANNEL CASE,CASES,JB16,CASES,,$24.00,,,
DOUBLE BED CHANNEL CASE,CASES,JB17,CASES,,$30.00,,,
QUEEN CHANNEL CASE,CASES,JB18,CASES,,$35.00,,,
KING CHANNEL CASE,CASES,JB19,CASES,,$40.00,,,
SUPER KING CHANNEL CASE,CASES,JB20,CASES,,$50.00,,,
30X50CM,INSERTS,JB21,100% Feather,Extra Firm Fill,$13.80,,,
35X50CM,INSERTS,JB22,100% Feather,Extra Firm Fill,$15.10,,,
60X50CM,INSERTS,JB23,100% Feather,Extra Firm Fill,$17.25,,,
34X58CM,INSERTS,JB24,100% Feather,Extra Firm Fill,$16.10,,,
45X70CM,INSERTS,JB25,100% Feather,Extra Firm Fill,$18.25,,,
30X55CM,INSERTS,JB26,100% Feather,Normal,$14.50,,,
30X55CM,INSERTS,JB27,100% Feather,Extra Firm Fill,15.1,,,
30X55CM,INSERTS,JB28,Duck Feather - Foam,Normal,$16.00,,,
30X55CM,INSERTS,JB29,Duck Feather - Foam,Firm Fill,16.6,,,
30X55CM,INSERTS,JB30,Duck Feather - Foam,Extra Firm Fill,17.2,,,
