Product Name,Category,SKU,Filling,Weight, Customer Price 
DUCK FEATHER & FOAM,BULK,PFH-0,MIX FILL,,$9.00
100% DUCK FEATHER,BULK,PFH1,FEATHER,,$9.00
FEATHER & FIBRE,BULK,PFH2,MIX FILL,,$10.00
15% DUCK DOWN 85% DUCK FEATHER,BULK,PFH3,DOWN,,$18.00
30% DUCK DOWN 70% DUCK FEATHER,BULK,PFH4,DOWN,,$26.00
50% DUCK DOWN 50% DUCK FEATHER,BULK,PFH5,DOWN,,$46.00
80% DUCK DOWN 20% DUCK FEATHER,BULK,PFH6,DOWN,,$81.00
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,PFH7,DOWN,,$135.00
FEATHER/FIBRE/DOWN,BULK,PFH8,MIX FILL,,$35.00
230CM COTTON JAPARA,BULK,PFH9,JAPARA,,$10.00
SINGLE BED CASSETTE CASE,CASES,PFH10,,,$24.00
DOUBLE BED CASSETTE CASE,CASES,PFH11,,,$30.00
QUEEN CASSETTE CASE,CASES,PFH12,,,$35.00
KING CASSETTE CASE,CASES,PFH13,,,$40.00
SUPER KING CASSETTE CASE,CASES,PFH14,,,$52.00
SINGLE BED CHANNEL CASE,CASES,PFH15,,,$24.00
DOUBLE BED CHANNEL CASE,CASES,PFH16,,,$30.00
QUEEN CHANNEL CASE,CASES,PFH17,,,$35.00
KING CHANNEL CASE,CASES,PFH18,,,$40.00
SUPER KING CHANNEL CASE,CASES,PFH19,,,$50.00
30X55CM - (34X58CM),INSERTS,PFH20,Duck Feather - Foam,Normal,$16.00
30X55CM - (34X58CM),INSERTS,PFH21,Duck Feather - Foam,Firm Fill,$16.60
30X55CM - (34X58CM),INSERTS,PFH22,Duck Feather - Foam,Extra Firm Fill,$17.20
30X55CM - (34X58CM),INSERTS,PFH23,Duck Feather - Fibre,Normal,$16.00
30X55CM - (34X58CM),INSERTS,PFH24,Duck Feather - Fibre,Firm Fill,$16.60
30X55CM - (34X58CM),INSERTS,PFH25,Duck Feather - Fibre,Extra Firm Fill,$17.20
30X55CM - (34X58CM),INSERTS,PFH26,100% Polyester,Normal,$16.00
30X55CM - (34X58CM),INSERTS,PFH27,100% Polyester,Firm Fill,$16.60
30X55CM - (34X58CM),INSERTS,PFH28,100% Polyester,Extra Firm Fill,$17.20
30X55CM - (34X58CM),INSERTS,PFH29,30% Down 70% Feather,Normal,$27.50
30X55CM - (34X58CM),INSERTS,PFH30,30% Down 70% Feather,Firm Fill,$30.10
30X55CM - (34X58CM),INSERTS,PFH31,30% Down 70% Feather,Extra Firm Fill,$32.70
30X55CM - (34X58CM),INSERTS,PFH32,50% Down 50% Feather,Normal,$36.80
30X55CM - (34X58CM),INSERTS,PFH33,50% Down 50% Feather,Firm Fill,$39.40
30X55CM - (34X58CM),INSERTS,PFH34,50% Down 50% Feather,Extra Firm Fill,$42.00
30X55CM - (34X58CM),INSERTS,PFH35,80% Down 20% Feather,Normal,$52.50
30X55CM - (34X58CM),INSERTS,PFH36,80% Down 20% Feather,Firm Fill,$55.10
30X55CM - (34X58CM),INSERTS,PFH37,80% Down 20% Feather,Extra Firm Fill,$57.70
40X40CM - (43X43CM),INSERTS,PFH38,100% Feather,Normal,$9.20
40X40CM - (43X43CM),INSERTS,PFH39,100% Feather,Firm Fill,$9.80
40X40CM - (43X43CM),INSERTS,PFH40,100% Feather,Extra Firm Fill,$10.40
40X40CM - (43X43CM),INSERTS,PFH41,Duck Feather - Foam,Normal,$11.00
40X40CM - (43X43CM),INSERTS,PFH42,Duck Feather - Foam,Firm Fill,$11.60
40X40CM - (43X43CM),INSERTS,PFH43,Duck Feather - Foam,Extra Firm Fill,$12.20
40X40CM - (43X43CM),INSERTS,PFH44,Duck Feather - Fibre,Normal,$11.00
40X40CM - (43X43CM),INSERTS,PFH45,Duck Feather - Fibre,Firm Fill,$11.60
40X40CM - (43X43CM),INSERTS,PFH46,Duck Feather - Fibre,Extra Firm Fill,$12.20
40X40CM - (43X43CM),INSERTS,PFH47,100% Polyester,Normal,$11.00
40X40CM - (43X43CM),INSERTS,PFH48,100% Polyester,Firm Fill,$11.60
