Product	Category	SKU	Filling	Weight	Price
DOUBLE - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	POULOS1	Goose		$205.00
KING - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	POULOS2	Goose		$265.00
QUEEN - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	POULOS3	Goose		$245.00
SINGLE - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	POULOS4	Goose		$180.00
SUPER KING - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	POULOS5	Goose		$340.00
DOUBLE - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	POULOS6	Duck		$80.00
KING - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	POULOS7	Duck		$105.00
QUEEN - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	POULOS8	Duck		$95.00
SINGLE - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	POULOS9	Duck		$70.00
SUPER KING - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	POULOS10	Duck		$135.00
Cot Quilt 80% Duck Down 100 x 143cm	80% DUCK COT FILLED	POULOS11	Duck		$70.00
DOUBLE - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	POULOS12	Duck		$80.50
KING - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	POULOS13	Duck		$104.00
QUEEN - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	POULOS14	Duck		$95.00
SINGLE - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	POULOS15	Duck		$70.50
SUPER KING - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	POULOS16	Duck		$139.00
DOUBLE - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	POULOS17	Duck		$110.00
DOUBLE - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	POULOS18	Goose		$173.00
KING - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	POULOS19	Duck		$140.50
KING - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	POULOS20	Goose		$224.50
QUEEN - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	POULOS21	Duck		$127.50
QUEEN - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	POULOS22	Goose		$197.00
SINGLE - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	POULOS23	Duck		$95.00
SINGLE - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	POULOS24	Goose		$149.00
SUPER KING - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	POULOS25	Duck		$182.00
SUPER KING - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	POULOS26	Goose		$309.50
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET	BLANKETS	POULOS27	Khaki Blanket		$70.00
Double/Queen 230 x 240cms 450gms - SILVER BLANKET	BLANKETS	POULOS28	Silver Blanket		$70.00
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET	BLANKETS	POULOS29	Khaki Blanket		$81.00
