Product Name	Category	SKU	Filling	Weight	Customer Price
DUCK FEATHER & FOAM	BULK	MW-01	MIX FILL		$9.00
100% DUCK FEATHER	BULK	MW0	FEATHER		$9.00
FEATHER & FIBRE	BULK	MW1	MIX FILL		$10.00
15% DUCK DOWN 85% DUCK FEATHER	BULK	MW2	DOWN		$18.00
30% DUCK DOWN 70% DUCK FEATHER	BULK	MW3	DOWN		$26.00
50% DUCK DOWN 50% DUCK FEATHER	BULK	MW4	DOWN		$46.00
80% DUCK DOWN 20% DUCK FEATHER	BULK	MW5	DOWN		$81.00
80% GOOSE DOWN 20% GOOSE FEATHER	BULK	MW6	DOWN		$135.00
FEATHER/FIBRE/DOWN	BULK	MW7	MIX FILL		$35.00
230CM COTTON JAPARA	BULK	MW8	JAPARA		$10.00
SINGLE - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	MW9	Goose		$170.50
DOUBLE - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	MW10	Goose		$199.00
QUEEN - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	MW11	Goose		$232.00
KING - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	MW12	Goose		$259.50
SUPER KING - 4 SEASONS 80% GOOSE DOWN	4 SEASONS FILLED	MW13	Goose		$335.50
SINGLE - 80% GOOSE DOWN WINTER	80% WINTER FILLED	MW14	Goose		$152.50
DOUBLE - 80% GOOSE DOWN WINTER	80% WINTER FILLED	MW15	Goose		$179.00
QUEEN - 80% GOOSE DOWN WINTER	80% WINTER FILLED	MW16	Goose		$204.50
KING - 80% GOOSE DOWN WINTER	80% WINTER FILLED	MW17	Goose		$234.50
SUPER KING - 80% GOOSE DOWN WINTER	80% WINTER FILLED	MW18	Goose		$326.00
SINGLE - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	MW19	Duck		$63.50
DOUBLE - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	MW20	Duck		$75.50
QUEEN - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	MW21	Duck		$88.00
KING - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	MW22	Duck		$98.50
SUPER KING - 50% DUCK DOWN MID WARM	50% MID WARM FILLED	MW23	Duck		$127.00
SINGLE - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	MW24	Duck		$88.00
DOUBLE - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	MW25	Duck		$103.50
QUEEN - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	MW26	Duck		$120.50
KING - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	MW27	Duck		$133.50
SUPER KING - 80% DUCK DOWN MID WARM	80% MID WARM FILLED	MW28	Duck		$175.00
SINGLE - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	MW29	Goose		$140.00
DOUBLE - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	MW30	Goose		$160.50
QUEEN - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	MW31	Goose		$182.00
KING - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	MW32	Goose		$206.00
SUPER KING - 80% GOOSE DOWN MID WARM	80% MID WARM FILLED	MW33	Goose		$294.00
Cot Quilt 80% Duck Down 100 x 143cm	80% DUCK COT FILLED	MW34	Duck		$70.00
SINGLE - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	MW35	Duck		$70.50
DOUBLE - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	MW36	Duck		$80.50
QUEEN - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	MW37	Duck		$95.00
KING - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	MW38	Duck		$104.00
SUPER KING - 80% DUCK DOWN SUMMER	80% DUCK SUMMER FILLED	MW39	Duck		$139.00
STANDARD 100% FEATHER PILLOW	PIPED PILLOWS	MW40	100% Feather		20
KING 100% FEATHER PILLOW	PIPED PILLOWS	MW41	100% Feather		25
STANDARD 30% DUCK DOWN PILLOW	PIPED PILLOWS	MW42	30% Down 70% Feather		32
KING 30% DUCK DOWN PILLOW	PIPED PILLOWS	MW43	30% Down 70% Feather		51
STANDARD 50% DUCK DOWN PILLOW	PIPED PILLOWS	MW44	50% Down 50% Feather		40
KING 50% DUCK DOWN PILLOW	PIPED PILLOWS	MW45	50% Down 50% Feather		65
STANDARD 80% DUCK DOWN PILLOW	PIPED PILLOWS	MW46	80% Down 20% Feather		60
KING 80% DUCK DOWN PILLOW	PIPED PILLOWS	MW47	80% Down 20% Feather		87.5
STANDARD 80% GOOSE DOWN PILLOW	PIPED PILLOWS	MW48	80% Down 20% Feather		95
KING 80% GOOSE DOWN PILLOW	PIPED PILLOWS	MW49	80% Down 20% Feather		120
STANDARD PILLOW - 50 DUCK DOWN CHAMBER PILLOW	CHAMBER PILLOW	MW50	Duck		$32.00
STANDARD PILLOW - 80 DUCK DOWN CHAMBER PILLOW	CHAMBER PILLOW	MW51	Duck		$40.00
STANDARD PILLOW - 80% HUNGARIAN PILLOW	STRIP PILLOW	MW52	Hungarian		$105.00
SB ULTRA WARM 80% GOOSE DOWN	80% WINTER FILLED	MW53	Goose		$152.50
DB ULTRA WARM 80% GOOSE DOWN	80% WINTER FILLED	MW54	Goose		$179.00
QS ULTRA WARM 80% GOOSE DOWN	80% WINTER FILLED	MW55	Goose		$204.50
KS ULTRA WARM 80% GOOSE DOWN	80% WINTER FILLED	MW56	Goose		$234.50
SKS ULTRA WARM 80% GOOSE DOWN	80% WINTER FILLED	MW57	Goose		$326.00
30X55CM	INSERTS	MW58	100% Feather	Normal	$14.50
