Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
SINGLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,FL-01,Duck,,$88.50,,,,,,,
DOUBLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,FL0,Duck,,$99.50,,,,,,,
QUEEN - 50% DUCK WINTER ,50% DUCK WINTER FILLED,FL1,Duck,,$116.00,,,,,,,
KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,FL2,Duck,,$133.00,,,,,,,
SUPER KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,FL3,Duck,,$160.00,,,,,,,
SINGLE - 80% DUCK WINTER,80% DUCK WINTER FILLED,FL4,Duck,,$116.00,,,,,,,
DOUBLE - 80% DUCK WINTER,80% DUCK WINTER FILLED,FL5,Duck,,$133.00,,,,,,,
QUEEN - 80% DUCK WINTER,80% DUCK WINTER FILLED,FL6,Duck,,$155.00,,,,,,,
KING - 80% DUCK WINTER ,80% DUCK WINTER FILLED,FL7,Duck,,$177.00,,,,,,,
SUPER KING - 80% DUCK WINTER,80% DUCK WINTER FILLED,FL8,Duck,,$254.00,,,,,,,
SINGLE - 80% GOOSE WINTER,80% GOOSE WINTER FILLED,FL9,GOOSE,,$177.00,,,,,,,
DOUBLE - 80% GOOSE WINTER,80% GOOSE WINTER FILLED,FL10,GOOSE,,$204.50,,,,,,,
QUEEN - 80% GOOSE WINTER,80% GOOSE WINTER FILLED,FL11,GOOSE,,$237.50,,,,,,,
KING - 80% GOOSE WINTER,80% GOOSE WINTER FILLED,FL12,GOOSE,,$272.00,,,,,,,
SUPER KING - 80% GOOSE WINTER,80% GOOSE WINTER FILLED,FL13,GOOSE,,$365.00,,,,,,,
SINGLE - 80% HUNGARIAN GOOSE WINTER,80% HUNGARIAN GOOSE,FL14,HUNGARIAN GOOSE,,$193.50,,,,,,,
DOUBLE - 80% HUNGARIAN GOOSE WINTER,80% HUNGARIAN GOOSE,FL15,HUNGARIAN GOOSE,,$237.50,,,,,,,
QUEEN - 80% HUNGARIAN GOOSE WINTER,80% HUNGARIAN GOOSE,FL16,HUNGARIAN GOOSE,,$282.00,,,,,,,
KING - 80% HUNGARIAN GOOSE WINTER,80% HUNGARIAN GOOSE,FL17,HUNGARIAN GOOSE,,$331.50,,,,,,,
SUPER KING - 80% HUNGARIAN GOOSE WINTER,80% HUNGARIAN GOOSE,FL18,HUNGARIAN GOOSE,,$420.00,,,,,,,
SINGLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,FL19,Duck,,$151.00,,,,,,,
DOUBLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,FL20,Duck,,$176.00,,,,,,,
QUEEN - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,FL21,Duck,,$205.50,,,,,,,
KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,FL22,Duck,,$232.00,,,,,,,
SUPER KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,FL23,Duck,,$309.50,,,,,,,
SINGLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,FL24,Goose,,$199.00,,,,,,,
DOUBLE - 4 SEASONS GOOSE DOWN,4 SEASONS FILLED,FL25,Goose,,$226.50,,,,,,,
QUEEN - 4 SEASONS GOOSE DOWN,4 SEASONS FILLED,FL26,Goose,,$271.00,,,,,,,
KING - 4 SEASONS GOOSE DOWN,4 SEASONS FILLED,FL27,Goose,,$293.00,,,,,,,
SUPER KING - 4 SEASONS GOOSE DOWN,4 SEASONS FILLED,FL28,Goose,,$376.00,,,,,,,
SINGLE - 50% DUCK DOWN MID WARM,50% DUCK WINTER FILLED,FL29,Duck,,$77.50,,,,,,,
DOUBLE - 50% DUCK DOWN MID WARM,50% DUCK WINTER FILLED,FL30,Duck,,$88.50,,,,,,,
QUEEN - 50% DUCK DOWN MID WARM,50% DUCK WINTER FILLED,FL31,Duck,,$105.00,,,,,,,
KING - 50% DUCK DOWN MID WARM,50% DUCK WINTER FILLED,FL32,Duck,,$116.00,,,,,,,
SUPER KING - 50% DUCK DOWN MID WARM,50% DUCK WINTER FILLED,FL33,Duck,,$149.50,,,,,,,
SINGLE - 80% DUCK DOWN MID WARM,80% DUCK WINTER FILLED,FL34,Duck,,$105.00,,,,,,,
DOUBLE - 80% DUCK DOWN MID WARM,80% DUCK WINTER FILLED,FL35,Duck,,$121.50,,,,,,,
QUEEN - 80% DUCK DOWN MID WARM,80% DUCK WINTER FILLED,FL36,Duck,,$141.00,,,,,,,
KING - 80% DUCK DOWN MID WARM,80% DUCK WINTER FILLED,FL37,Duck,,$155.50,,,,,,,
SUPER KING - 80% DUCK DOWN MID WARM,80% DUCK WINTER FILLED,FL38,Duck,,$201.50,,,,,,,
SINGLE - 80% GOOSE DOWN MID WARM,80% HUNGARIAN GOOSE,FL39,GOOSE,,$165.00,,,,,,,
DOUBLE - 80% GOOSE DOWN MID WARM,80% HUNGARIAN GOOSE,FL40,GOOSE,,$191.50,,,,,,,
QUEEN - 80% GOOSE DOWN MID WARM,80% HUNGARIAN GOOSE,FL41,GOOSE,,$218.00,,,,,,,
KING - 80% GOOSE DOWN MID WARM ,80% HUNGARIAN GOOSE,FL42,GOOSE,,$248.00,,,,,,,
SUPER KING - 80% GOOSE DOWN MID WARM ,80% HUNGARIAN GOOSE,FL43,GOOSE,,$342.00,,,,,,,
SINGLE - 80% HUNGARIAN GOOSE MID WARM,80% HUNGARIAN GOOSE,FL44,HUNGARIAN GOOSE,,$176.00,,,,,,,
DOUBLE - 80% HUNGARIAN GOOSE MID WARM,80% HUNGARIAN GOOSE,FL45,HUNGARIAN GOOSE,,$202.50,,,,,,,
QUEEN - 80% HUNGARIAN GOOSE MID WARM ,80% HUNGARIAN GOOSE,FL46,HUNGARIAN GOOSE,,$239.50,,,,,,,
KING - 80% HUNGARIAN GOOSE MID WARM,80% HUNGARIAN GOOSE,FL47,HUNGARIAN GOOSE,,$256.50,,,,,,,
SUPER KING - 80% HUNGARIAN GOOSE MID WARM,80% HUNGARIAN GOOSE,FL48,HUNGARIAN GOOSE,,$347.00,,,,,,,
SINGLE - 80% DUCK DOWN SUMMER,80% DUCK SUMMER FILLED,FL49,Duck,,$78.00,,,,,,,
DOUBLE - 80% DUCK DOWN SUMMER,80% DUCK SUMMER FILLED,FL50,Duck,,$89.00,,,,,,,
QUEEN - 80% DUCK DOWN SUMMER,80% DUCK SUMMER FILLED,FL51,Duck,,$105.00,,,,,,,
KING - 80% DUCK DOWN SUMMER,80% DUCK SUMMER FILLED,FL52,Duck,,$115.00,,,,,,,
SUPER KING - 80% DUCK DOWN SUMMER,80% DUCK SUMMER FILLED,FL53,Duck,,$153.50,,,,,,,
SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL54,Duck,,$78.50,,,,,,,
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL55,Duck,,$111.00,,,,,,,
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL56,Duck,,$111.00,,,,,,,
QUEEN - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL57,Duck,,$118.00,,,,,,,
