Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,,
DUCK FEATHER & FOAM,BULK,BR-01,MIX FILL,,$9.00,,,,,,,,,,
100% DUCK FEATHER,BULK,BR0,FEATHER,,$9.00,,,,,,,,,,
FEATHER & FIBRE,BULK,BR1,MIX FILL,,$10.00,,,,,,,,,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,BR2,DOWN,,$18.00,,,,,,,,,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,BR3,DOWN,,$26.00,,,,,,,,,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,BR4,DOWN,,$46.00,,,,,,,,,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,BR5,DOWN,,$81.00,,,,,,,,,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,BR6,DOWN,,$135.00,,,,,,,,,,
FEATHER/FIBRE/DOWN,BULK,BR7,MIX FILL,,$35.00,,,,,,,,,,
230CM COTTON JAPARA,BULK,BR8,JAPARA,,$10.00,,,,,,,,,,
SINGLE BED CASSETTE CASE,CASES,BR9,CASES,,$24.00,,,,,,,,,,
DOUBLE BED CASSETTE CASE,CASES,BR10,CASES,,$30.00,,,,,,,,,,
QUEEN CASSETTE CASE,CASES,BR11,CASES,,$35.00,,,,,,,,,,
KING CASSETTE CASE,CASES,BR12,CASES,,$40.00,,,,,,,,,,
SUPER KING CASSETTE CASE,CASES,BR13,CASES,,$52.00,,,,,,,,,,
SINGLE BED CHANNEL CASE,CASES,BR14,CASES,,$24.00,,,,,,,,,,
DOUBLE BED CHANNEL CASE,CASES,BR15,CASES,,$30.00,,,,,,,,,,
QUEEN CHANNEL CASE,CASES,BR16,CASES,,$35.00,,,,,,,,,,
KING CHANNEL CASE,CASES,BR17,CASES,,$40.00,,,,,,,,,,
SUPER KING CHANNEL CASE,CASES,BR18,CASES,,$50.00,,,,,,,,,,
35 x 35cm Duck Feather Insert 450g,INSERTS,BR19,100% Feather,,$8.40,,,,,,,,,,
40 x 40cm Duck Feather Insert 650g,INSERTS,BR20,100% Feather,,$8.40,,,,,,,,,,
45 x 45cm Duck Feather Insert 850g,INSERTS,BR21,100% Feather,,$8.40,,,,,,,,,,
50 x 50cm Duck Feather Insert 1150g,INSERTS,BR22,100% Feather,,$9.45,,,,,,,,,,
55 x 55cm Duck Feather Insert 1350g,INSERTS,BR23,100% Feather,,$10.50,,,,,,,,,,
60 x 60cm Duck Feather Insert 1650g,INSERTS,BR24,100% Feather,,$12.60,,,,,,,,,,
65 x 65cm Duck Feather Insert 1850g,INSERTS,BR25,100% Feather,,$15.75,,,,,,,,,,
35 x 60cm Duck Feather Insert,INSERTS,BR26,100% Feather,,$11.55,,,,,,,,,,
40 x 60cm Duck Feather Insert 1150g,INSERTS,BR27,100% Feather,,$11.55,,,,,,,,,,
30 x 40cm Duck Feather Insert 580g,INSERTS,BR28,100% Feather,,$9.45,,,,,,,,,,
40 x 50cm Duck Feather Insert 800g,INSERTS,BR29,100% Feather,,$10.50,,,,,,,,,,
40 x 55cm Duck Feather Insert,INSERTS,BR30,100% Feather,,$11.55,,,,,,,,,,
30 x 50cm Duck Feather Insert,INSERTS,BR31,100% Feather,,$9.45,,,,,,,,,,
35 x 45cm Duck Feather Insert,INSERTS,BR32,100% Feather,,$9.45,,,,,,,,,,
55 x 50cm Duck Feather Insert,INSERTS,BR33,100% Feather,,$12.60,,,,,,,,,,
35 x 50cm Duck Feather Insert,INSERTS,BR34,100% Feather,,$10.50,,,,,,,,,,
30 x 30cm Duck Feather Insert 350g,INSERTS,BR35,100% Feather,,$8.40,,,,,,,,,,
25 x 25cm Duck Feather Insert,INSERTS,BR36,100% Feather,,$8.40,,,,,,,,,,
40 x 90cm Duck Feather Insert,INSERTS,BR37,100% Feather,,$16.80,,,,,,,,,,
30 x 55cm Duck Feather Insert,INSERTS,BR38,100% Feather,,$10.50,,,,,,,,,,
30 x 100cm Duck Feather Insert 1815g,INSERTS,BR39,100% Feather,,$24.15,,,,,,,,,,
45 x 60cm Duck Feather Insert 1570g,INSERTS,BR40,100% Feather,,$12.60,,,,,,,,,,
30 x 125cm Duck Feather Insert 2370g,INSERTS,BR41,100% Feather,,$42.00,,,,,,,,,,
55 x 65cm Duck Feather Insert,INSERTS,BR42,100% Feather,,$13.65,,,,,,,,,,
45 x 55cm duck feather insert 1000g,INSERTS,BR43,100% Feather,,$10.50,,,,,,,,,,
40 x 55cm Feather/Fibre  Insert,INSERTS,BR44,100% Feather,,$13.10,,,,,,,,,,
45cm round Duck Feather Insert,INSERTS,BR45,100% Feather,,$10.50,,,,,,,,,,
40cm round Duck Feather Insert,INSERTS,BR46,100% Feather,,$9.45,,,,,,,,,,
50cm round Duck Feather Insert,INSERTS,BR47,100% Feather,,$12.60,,,,,,,,,,
65 x 65cm Feather/Fibre  Insert,INSERTS,BR48,100% Feather,,$26.25,,,,,,,,,,
60 x 60cm Feather/Fibre  Insert,INSERTS,BR49,100% Feather,,$15.75,,,,,,,,,,
55 x 55cm Feather/Fibre  Insert,INSERTS,BR50,100% Feather,,$13.65,,,,,,,,,,
50 x 50cm Feather/Fibre  Insert,INSERTS,BR51,100% Feather,,$12.10,,,,,,,,,,
SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR52,Duck,,$82.00,,,,,,,,,,
SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR53,Goose,,$102.50,,,,,,,,,,
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR54,Duck,,$115.50,,,,,,,,,,
DOUBLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR55,Goose,,$126.50,,,,,,,,,,
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR56,Duck,,95,,,,,,,,,,
KING SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR57,Goose,,107,,,,,,,,,,
QUEEN - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR58,Duck,,122.5,,,,,,,,,,
QUEEN - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR59,Goose,,154,,,,,,,,,,
KING - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR60,Duck,,138.5,,,,,,,,,,
KING - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,BR61,Goose,,180,,,,,,,,,,
DOUBLE - MICROSOFT,MICROSOFT,BR62,Polyester,,$60.00,,,,,,,,,,
KING - MICROSOFT,MICROSOFT,BR63,Polyester,,$75.50,,,,,,,,,,
QUEEN - MICROSOFT,MICROSOFT,BR64,Polyester,,$67.00,,,,,,,,,,
SINGLE - MICROSOFT,MICROSOFT,BR65,Polyester,,$47.50,,,,,,,,,,
STANDARD 100% FEATHER PILLOW,PIPED PILLOWS,BR66,100% Feather,Duck,$23.00,,,,,,,,,,
STANDARD 30% DUCK DOWN PILLOW,PIPED PILLOWS,BR67,30% Down 70% Feather,Duck,$37.00,,,,,,,,,,
STANDARD 50% DUCK DOWN PILLOW,PIPED PILLOWS,BR68,50% Down 50% Feather,Duck,$46.00,,,,,,,,,,
STANDARD 80% DUCK DOWN PILLOW,PIPED PILLOWS,BR69,80% Down 20% Feather,Duck,$69.00,,,,,,,,,,
STANDARD 80% GOOSE DOWN PILLOW,PIPED PILLOWS,BR70,80% Down 20% Feather,Goose,$109.50,,,,,,,,,,
QUEEN 100% FEATHER PILLOW,PIPED PILLOWS,BR71,100% Feather,Duck,$26.00,,,,,,,,,,
