Product Name,Category,SKU,Filling,Weight,Customer Price,,,,,,,
DUCK FEATHER & FOAM,BULK,PFH-0,MIX FILL,,$9.00,,,,,,,
100% DUCK FEATHER,BULK,PFH1,FEATHER,,$9.00,,,,,,,
FEATHER & FIBRE,BULK,PFH2,MIX FILL,,$10.00,,,,,,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,PFH3,DOWN,,$18.00,,,,,,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,PFH4,DOWN,,$26.00,,,,,,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,PFH5,DOWN,,$46.00,,,,,,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,PFH6,DOWN,,$81.00,,,,,,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,PFH7,DOWN,,$135.00,,,,,,,
FEATHER/FIBRE/DOWN,BULK,PFH8,MIX FILL,,$35.00,,,,,,,
230CM COTTON JAPARA,BULK,PFH9,JAPARA,,$10.00,,,,,,,
SINGLE BED CASSETTE CASE,CASES,PFH10,CASES,,$24.00,,,,,,,
DOUBLE BED CASSETTE CASE,CASES,PFH11,CASES,,$30.00,,,,,,,
QUEEN CASSETTE CASE,CASES,PFH12,CASES,,$35.00,,,,,,,
KING CASSETTE CASE,CASES,PFH13,CASES,,$40.00,,,,,,,
SUPER KING CASSETTE CASE,CASES,PFH14,CASES,,$52.00,,,,,,,
SINGLE BED CHANNEL CASE,CASES,PFH15,CASES,,$24.00,,,,,,,
DOUBLE BED CHANNEL CASE,CASES,PFH16,CASES,,$30.00,,,,,,,
QUEEN CHANNEL CASE,CASES,PFH17,CASES,,$35.00,,,,,,,
KING CHANNEL CASE,CASES,PFH18,CASES,,$40.00,,,,,,,
SUPER KING CHANNEL CASE,CASES,PFH19,CASES,,$50.00,,,,,,,
33cm Round  x 8cm border duck feather inserts,INSERTS,,100% Feather,,10.5,,,,,,,
35 x 100cm duck feather inserts,INSERTS,,100% Feather,,16.8,,,,,,,
40 x 60cm duck feather inserts,INSERTS,,100% Feather,,10.5,,,,,,,
50cm round duck feather inserts,INSERTS,,100% Feather,,10.5,,,,,,,
40 x 140cm duck feather inserts,INSERTS,,100% Feather,,21.00,,,,,,,
65 x 65cm duck feather inserts,INSERTS,,100% Feather,,15.75,,,,,,,
80cm long x 18cm dia. Bolster duck feather,INSERTS,,100% Feather,,21.00,,,,,,,
48cm long x 18cm dia. Bolster duck feather,INSERTS,,100% Feather,,17.85,,,,,,,
SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH332,Duck,,$71.00,,,,,,,
SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH333,Goose,,$88.00,,,,,,,
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH334,Duck,,$100.50,,,,,,,
DOUBLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH335,Goose,,$110.00,,,,,,,
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH336,Duck,,$100.50,,,,,,,
KING SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH337,Goose,,$110.00,,,,,,,
QUEEN - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH338,Duck,,$106.50,,,,,,,
QUEEN - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH339,Goose,,$133.00,,,,,,,
KING - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH340,Duck,,$120.50,,,,,,,
KING - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,PFH341,Goose,,$156.50,,,,,,,
DOUBLE - MICROSOFT,MICROSOFT,PFH342,Polyester,,$45.00,,,,,,,
KING - MICROSOFT,MICROSOFT,PFH343,Polyester,,$56.00,,,,,,,
QUEEN - MICROSOFT,MICROSOFT,PFH344,Polyester,,$50.00,,,,,,,
SINGLE - MICROSOFT,MICROSOFT,PFH345,Polyester,,$35.00,,,,,,,
