Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
Single 10% Goose Mattress Topp 4.5kg,HLC-01,MATTRESS TOPPER,GOOSE,,91,,,,,,,
Double 10% Goose Mattress Topp 5 kilos,HLC0,MATTRESS TOPPER,GOOSE,,110,,,,,,,
Queen 10% Goose Mattress Topp 5.4kgs,HLC1,MATTRESS TOPPER,GOOSE,,135.5,,,,,,,
King 10% Goose Mattress Topp 6.4kgs,HLC2,MATTRESS TOPPER,GOOSE,,160,,,,,,,
King Single 10% Goose Topper,HLC4,MATTRESS TOPPER,GOOSE,,98.5,,,,,,,
DOUBLE DUCK TOPPERS,HLC3,MATTRESS TOPPER,DUCK,,100.5,,,,,,,
QUEEN SIZE 10% DUCK DOWN TOPPER,HLC5,MATTRESS TOPPER,DUCK,,106.5,,,,,,,
KING SIZE 10% DUCK DOWN TOPPER,HLC6,MATTRESS TOPPER,DUCK,,120.5,,,,,,,
Std 30% down pillows 750grms,HLC7,DUCK PILLOW,DUCK,,26,,,,,,,
Queen 30% down Pillows 1100grms,HLC8,DUCK PILLOW,DUCK,,35,,,,,,,
King 30% down Pillows 1200grms,HLC9,DUCK PILLOW,DUCK,,38,,,,,,,
Std 50% Duck Down Pillows 700grms,HLC10,DUCK PILLOW,DUCK,,40,,,,,,,
Queen 50% Duck Down Pillows 1100grms,HLC11,DUCK PILLOW,DUCK,,55.5,,,,,,,
King 50% Duck Down Pillows 1300grms,HLC12,DUCK PILLOW,DUCK,,60,,,,,,,
Std 50% Goosedown Pillows 800grms,HLC13,GOOSE PILLOW,GOOSE,,74,,,,,,,
Queen 50% Goosedown Pillows 1000grms,HLC14,GOOSE PILLOW,GOOSE,,90,,,,,,,
King 50% Goosedown Pillows 1300grms,HLC15,GOOSE PILLOW,GOOSE,,110,,,,,,,
Std 100% Duck Feather Pillows 1000grms,HLC16,DUCK PILLOW,DUCK,,20,,,,,,,
Queen 100% Duck Feather Pillow 1300grms,HLC17,DUCK PILLOW,DUCK,,22,,,,,,,
King 100% Duck Feather Pillows 1600grms,HLC18,DUCK PILLOW,DUCK,,25,,,,,,,
Std 70% Goose Pillow 700grms,HLC19,GOOSE PILLOW,GOOSE,,85,,,,,,,
Queen 70% Goose Pillows 900grms,HLC20,GOOSE PILLOW,GOOSE,,112,,,,,,,
King 70% Goose Pillows 1000grms,HLC21,GOOSE PILLOW,GOOSE,,120,,,,,,,
Std 80% Goose Pillows 600grms,HLC22,GOOSE PILLOW,GOOSE,,85,,,,,,,
Queen 80% Goose Pillows 800grms,HLC23,GOOSE PILLOW,GOOSE,,112,,,,,,,
King 80% Goose Pillows 900grms,HLC24,GOOSE PILLOW,GOOSE,,120,,,,,,,
65 x 95cm 50% Duck pillows 1350grms,HLC25,DUCK PILLOW,DUCK,,$92.50,,,,,,,
Std 30% Goose Down Pillows 750grms,HLC26,GOOSE PILLOW,GOOSE,,38,,,,,,,
Queen 30% Goose Down Pillow 1100grms,HLC27,GOOSE PILLOW,GOOSE,,51,,,,,,,
King 30% Goose Down Pillow 1200grms,HLC28,GOOSE PILLOW,GOOSE,,68.5,,,,,,,
King 30% down pillow 1600grm,HLC29,DUCK PILLOW,DUCK,,49.5,,,,,,,
Queen 30% Down Pillows 1400grm,HLC30,DUCK PILLOW,DUCK,,45.5,,,,,,,
STD MICROSOFT PILLOW,HLC31,MICROSFT PILLOW,POLYESTER,,17.5,,,,,,,
STANDARD 80% HUNGARIAN GOOSE PILLOW STRIPPED,HLC32,HUNGARIAN PILLOW,HUNGARIAN,,$112.00,,,,,,,
QUEEN 80% HUNGARIAN GOOSE PILLOW,HLC33,HUNGARIAN PILLOW,HUNGARIAN,,$117.00,,,,,,,
KING 80% HUNGARIAN GOOSE PILLOW,HLC34,HUNGARIAN PILLOW,HUNGARIAN,,$125.00,,,,,,,
QUEEN MICROSOFT PILLOW,HLC35,MICROSFT PILLOW,POLYESTER,,24.5,,,,,,,
KING MICROSOFT PILLOW,HLC36,MICROSFT PILLOW,POLYESTER,,31,,,,,,,
Single 50% Goosedown Cassette 700grms,HLC37,50% GOOSE DOWN,GOOSE,,94,,,,,,,
Double 50% Goosedown Cassette 1000grms,HLC38,50% GOOSE DOWN,GOOSE,,112.5,,,,,,,
Queen 50% Goosedown Cassette 1130grms,HLC39,50% GOOSE DOWN,GOOSE,,135.5,,,,,,,
King 50% Goosedown Cassette 1300GRMS,HLC40,50% GOOSE DOWN,GOOSE,,185,,,,,,,
Super King 50% Goosedown Casse 1600grms,HLC41,50% GOOSE DOWN,GOOSE,,172,,,,,,,
SB 80% Goose Summer Cassette 300grms,HLC42,80% GOOSE SUMMER,GOOSE,,85,,,,,,,
DB 80% Goose Summer Quilt 400grms,HLC43,80% GOOSE SUMMER,GOOSE,,104,,,,,,,
QS 80% Goose Summer Cassette 450grms,HLC44,80% GOOSE SUMMER,GOOSE,,123,,,,,,,
KS 80% Goose Summer Cassette 500grms,HLC45,80% GOOSE SUMMER,GOOSE,,137,,,,,,,
SKS 80% Goose Summer Cassette 700grms,HLC46,80% GOOSE SUMMER,GOOSE,,185,,,,,,,
SB 80% Goose Cassette,HLC47,80% GOOSE DOWN,GOOSE,,155,,,,,,,
DB 80% Goose Cassette,HLC48,80% GOOSE DOWN,GOOSE,,182,,,,,,,
QS 80% Goose Cassette,HLC49,80% GOOSE DOWN,GOOSE,,209,,,,,,,
King 80% Goose Cassette,HLC50,80% GOOSE DOWN,GOOSE,,240,,,,,,,
SKS 80% Goose Cassette,HLC51,80% GOOSE DOWN,GOOSE,,335,,,,,,,
SINGLE HG STRIPPED SATEEN CASSETTE,HLC52,HUNGARIAN,HUNGARIAN ,,177,,,,,,,
DOUBLE HG STRIPPED SATEEN CASSETTE,HLC53,HUNGARIAN,HUNGARIAN ,,217,,,,,,,
QUEEN HG STRIPPED SATEEN CASSETTE,HLC54,HUNGARIAN,HUNGARIAN ,,257,,,,,,,
KING HG STRIPPED SATEEN CASSETTE,HLC55,HUNGARIAN,HUNGARIAN ,,302,,,,,,,
SUPER KING HG STRIPPED SATEEN CASSETTE,HLC56,HUNGARIAN,HUNGARIAN ,,382,,,,,,,
30X55CM,HLC57,INSERTS,100% Feather,Normal,$14.50,,,,,,,
30X55CM,HLC58,INSERTS,100% Feather,Firm Fill,15.1,,,,,,,
30X55CM,HLC59,INSERTS,100% Feather,Extra Firm Fill,15.7,,,,,,,
30X55CM,HLC60,INSERTS,Duck Feather - Foam,Normal,$16.00,,,,,,,
30X55CM,HLC61,INSERTS,Duck Feather - Foam,Firm Fill,16.6,,,,,,,
30X55CM,HLC62,INSERTS,Duck Feather - Foam,Extra Firm Fill,17.2,,,,,,,
30X55CM,HLC63,INSERTS,Duck Feather - Fibre,Normal,$16.00,,,,,,,
30X55CM,HLC64,INSERTS,Duck Feather - Fibre,Firm Fill,16.6,,,,,,,
30X55CM,HLC65,INSERTS,Duck Feather - Fibre,Extra Firm Fill,17.2,,,,,,,
30X55CM,HLC66,INSERTS,100% Polyester,Normal,$16.00,,,,,,,
30X55CM,HLC67,INSERTS,100% Polyester,Firm Fill,16.6,,,,,,,
30X55CM,HLC68,INSERTS,100% Polyester,Extra Firm Fill,17.2,,,,,,,
30X55CM,HLC69,INSERTS,30% Down 70% Feather,Normal,$27.50,,,,,,,
30X55CM,HLC70,INSERTS,30% Down 70% Feather,Firm Fill,30.1,,,,,,,
30X55CM,HLC71,INSERTS,30% Down 70% Feather,Extra Firm Fill,32.7,,,,,,,
30X55CM,HLC72,INSERTS,50% Down 50% Feather,Normal,$36.80,,,,,,,
30X55CM,HLC73,INSERTS,50% Down 50% Feather,Firm Fill,39.4,,,,,,,
30X55CM,HLC74,INSERTS,50% Down 50% Feather,Extra Firm Fill,42,,,,,,,
30X55CM,HLC75,INSERTS,80% Down 20% Feather,Normal,$52.50,,,,,,,
30X55CM,HLC76,INSERTS,80% Down 20% Feather,Firm Fill,55.1,,,,,,,
30X55CM,HLC77,INSERTS,80% Down 20% Feather,Extra Firm Fill,57.7,,,,,,,
40X40CM,HLC78,INSERTS,100% Feather,Normal,$9.20,,,,,,,
40X40CM,HLC79,INSERTS,100% Feather,Firm Fill,9.8,,,,,,,
40X40CM,HLC80,INSERTS,100% Feather,Extra Firm Fill,10.4,,,,,,,
40X40CM,HLC81,INSERTS,Duck Feather - Foam,Normal,$11.00,,,,,,,
40X40CM,HLC82,INSERTS,Duck Feather - Foam,Firm Fill,11.6,,,,,,,
40X40CM,HLC83,INSERTS,Duck Feather - Foam,Extra Firm Fill,12.2,,,,,,,
40X40CM,HLC84,INSERTS,Duck Feather - Fibre,Normal,$11.00,,,,,,,
40X40CM,HLC85,INSERTS,Duck Feather - Fibre,Firm Fill,11.6,,,,,,,
40X40CM,HLC86,INSERTS,Duck Feather - Fibre,Extra Firm Fill,12.2,,,,,,,
40X40CM,HLC87,INSERTS,100% Polyester,Normal,$11.00,,,,,,,
40X40CM,HLC88,INSERTS,100% Polyester,Firm Fill,11.6,,,,,,,
40X40CM,HLC89,INSERTS,100% Polyester,Extra Firm Fill,12.2,,,,,,,
40X40CM,HLC90,INSERTS,30% Down 70% Feather,Normal,$19.00,,,,,,,
40X40CM,HLC91,INSERTS,30% Down 70% Feather,Firm Fill,21.6,,,,,,,
40X40CM,HLC92,INSERTS,30% Down 70% Feather,Extra Firm Fill,24.2,,,,,,,
40X40CM,HLC93,INSERTS,50% Down 50% Feather,Normal,$27.00,,,,,,,
40X40CM,HLC94,INSERTS,50% Down 50% Feather,Firm Fill,29.6,,,,,,,
40X40CM,HLC95,INSERTS,50% Down 50% Feather,Extra Firm Fill,32.2,,,,,,,
40X40CM,HLC96,INSERTS,80% Down 20% Feather,Normal,$44.00,,,,,,,
40X40CM,HLC97,INSERTS,80% Down 20% Feather,Firm Fill,46.6,,,,,,,
40X40CM,HLC98,INSERTS,80% Down 20% Feather,Extra Firm Fill,49.2,,,,,,,
45X45CM,HLC99,INSERTS,100% Feather,Normal,$10.50,,,,,,,
45X45CM,HLC100,INSERTS,100% Feather,Firm Fill,11.1,,,,,,,
45X45CM,HLC101,INSERTS,100% Feather,Extra Firm Fill,11.7,,,,,,,
45X45CM,HLC102,INSERTS,Duck Feather - Foam,Normal,$12.00,,,,,,,
45X45CM,HLC103,INSERTS,Duck Feather - Foam,Firm Fill,12.6,,,,,,,
45X45CM,HLC104,INSERTS,Duck Feather - Foam,Extra Firm Fill,13.2,,,,,,,
45X45CM,HLC105,INSERTS,Duck Feather - Fibre,Normal,$12.00,,,,,,,
45X45CM,HLC106,INSERTS,Duck Feather - Fibre,Firm Fill,12.6,,,,,,,
45X45CM,HLC107,INSERTS,Duck Feather - Fibre,Extra Firm Fill,13.2,,,,,,,
45X45CM,HLC108,INSERTS,100% Polyester,Normal,$12.00,,,,,,,
45X45CM,HLC109,INSERTS,100% Polyester,Firm Fill,12.6,,,,,,,
45X45CM,HLC110,INSERTS,100% Polyester,Extra Firm Fill,13.2,,,,,,,
45X45CM,HLC111,INSERTS,30% Down 70% Feather,Normal,$23.50,,,,,,,
45X45CM,HLC112,INSERTS,30% Down 70% Feather,Firm Fill,26.1,,,,,,,
45X45CM,HLC113,INSERTS,30% Down 70% Feather,Extra Firm Fill,28.7,,,,,,,
45X45CM,HLC114,INSERTS,50% Down 50% Feather,Normal,$32.80,,,,,,,
45X45CM,HLC115,INSERTS,50% Down 50% Feather,Firm Fill,35.4,,,,,,,
45X45CM,HLC116,INSERTS,50% Down 50% Feather,Extra Firm Fill,38,,,,,,,
45X45CM,HLC117,INSERTS,80% Down 20% Feather,Normal,$48.50,,,,,,,
45X45CM,HLC118,INSERTS,80% Down 20% Feather,Firm Fill,51.1,,,,,,,
45X45CM,HLC119,INSERTS,80% Down 20% Feather,Extra Firm Fill,53.7,,,,,,,
40X80CM,HLC120,INSERTS,100% Feather,Normal,$19.00,,,,,,,
40X80CM,HLC121,INSERTS,100% Feather,Firm Fill,19.6,,,,,,,
40X80CM,HLC122,INSERTS,100% Feather,Extra Firm Fill,20.2,,,,,,,
40X80CM,HLC123,INSERTS,Duck Feather - Foam,Normal,$21.25,,,,,,,
40X80CM,HLC124,INSERTS,Duck Feather - Foam,Firm Fill,21.85,,,,,,,
40X80CM,HLC125,INSERTS,Duck Feather - Foam,Extra Firm Fill,22.45,,,,,,,
40X80CM,HLC126,INSERTS,Duck Feather - Fibre,Normal,$21.25,,,,,,,
40X80CM,HLC127,INSERTS,Duck Feather - Fibre,Firm Fill,21.85,,,,,,,
40X80CM,HLC128,INSERTS,Duck Feather - Fibre,Extra Firm Fill,22.45,,,,,,,
40X80CM,HLC129,INSERTS,100% Polyester,Normal,$21.25,,,,,,,
40X80CM,HLC130,INSERTS,100% Polyester,Firm Fill,21.85,,,,,,,
40X80CM,HLC131,INSERTS,100% Polyester,Extra Firm Fill,22.45,,,,,,,
40X80CM,HLC132,INSERTS,30% Down 70% Feather,Normal,$43.00,,,,,,,
40X80CM,HLC133,INSERTS,30% Down 70% Feather,Firm Fill,45.6,,,,,,,
40X80CM,HLC134,INSERTS,30% Down 70% Feather,Extra Firm Fill,48.2,,,,,,,
40X80CM,HLC135,INSERTS,50% Down 50% Feather,Normal,$68.40,,,,,,,
40X80CM,HLC136,INSERTS,50% Down 50% Feather,Firm Fill,71,,,,,,,
40X80CM,HLC137,INSERTS,50% Down 50% Feather,Extra Firm Fill,73.6,,,,,,,
40X80CM,HLC138,INSERTS,80% Down 20% Feather,Normal,$83.00,,,,,,,
40X80CM,HLC139,INSERTS,80% Down 20% Feather,Firm Fill,85.6,,,,,,,
40X80CM,HLC140,INSERTS,80% Down 20% Feather,Extra Firm Fill,88.2,,,,,,,
45X70CM,HLC141,INSERTS,100% Feather,Normal,$17.65,,,,,,,
45X70CM,HLC142,INSERTS,100% Feather,Firm Fill,18.25,,,,,,,
45X70CM,HLC143,INSERTS,100% Feather,Extra Firm Fill,18.85,,,,,,,
45X70CM,HLC144,INSERTS,Duck Feather - Foam,Normal,$20.00,,,,,,,
45X70CM,HLC145,INSERTS,Duck Feather - Foam,Firm Fill,20.6,,,,,,,
45X70CM,HLC146,INSERTS,Duck Feather - Foam,Extra Firm Fill,21.2,,,,,,,
45X70CM,HLC147,INSERTS,Duck Feather - Fibre,Normal,$20.00,,,,,,,
45X70CM,HLC148,INSERTS,Duck Feather - Fibre,Firm Fill,20.6,,,,,,,
45X70CM,HLC149,INSERTS,Duck Feather - Fibre,Extra Firm Fill,21.2,,,,,,,
45X70CM,HLC150,INSERTS,100% Polyester,Normal,$20.00,,,,,,,
45X70CM,HLC151,INSERTS,100% Polyester,Firm Fill,20.6,,,,,,,
45X70CM,HLC152,INSERTS,100% Polyester,Extra Firm Fill,21.2,,,,,,,
45X70CM,HLC153,INSERTS,30% Down 70% Feather,Normal,$36.70,,,,,,,
45X70CM,HLC154,INSERTS,30% Down 70% Feather,Firm Fill,39.3,,,,,,,
45X70CM,HLC155,INSERTS,30% Down 70% Feather,Extra Firm Fill,41.9,,,,,,,
45X70CM,HLC156,INSERTS,50% Down 50% Feather,Normal,$52.15,,,,,,,
45X70CM,HLC157,INSERTS,50% Down 50% Feather,Firm Fill,54.75,,,,,,,
45X70CM,HLC158,INSERTS,50% Down 50% Feather,Extra Firm Fill,57.35,,,,,,,
45X70CM,HLC159,INSERTS,80% Down 20% Feather,Normal,$73.00,,,,,,,
45X70CM,HLC160,INSERTS,80% Down 20% Feather,Firm Fill,75.6,,,,,,,
45X70CM,HLC161,INSERTS,80% Down 20% Feather,Extra Firm Fill,78.2,,,,,,,
50X110CM,HLC162,PFH125,100% Feather,Normal,$50.00,,,,,,,
50X110CM,HLC163,PFH126,100% Feather,Firm Fill,$50.60,,,,,,,
50X110CM,HLC164,PFH127,100% Feather,Extra Firm Fill,$51.80,,,,,,,
50X110CM,HLC165,PFH128,Duck Feather - Foam,Normal,$50.00,,,,,,,
50X110CM,HLC166,PFH129,Duck Feather - Foam,Firm Fill,$50.60,,,,,,,
50X110CM,HLC167,PFH130,Duck Feather - Foam,Extra Firm Fill,$51.20,,,,,,,
50X110CM,HLC168,PFH131,Duck Feather - Fibre,Normal,$50.00,,,,,,,
50X110CM,HLC169,PFH132,Duck Feather - Fibre,Firm Fill,$50.60,,,,,,,
50X110CM,HLC170,PFH133,Duck Feather - Fibre,Extra Firm Fill,$51.20,,,,,,,
50X110CM,HLC171,PFH134,100% Polyester,Normal,$46.00,,,,,,,
50X110CM,HLC172,PFH135,100% Polyester,Firm Fill,$46.60,,,,,,,
50X110CM,HLC173,PFH136,100% Polyester,Extra Firm Fill,$47.20,,,,,,,
50X110CM,HLC174,PFH137,30% Down 70% Feather,Normal,$95.00,,,,,,,
50X110CM,HLC175,PFH138,30% Down 70% Feather,Firm Fill,$96.00,,,,,,,
