Product Name,SKU,Category,Filling,Weight, Customer Price ,,,,,,,,
DUCK FEATHER & FOAM,BULK-01,BULK,MIX FILL,,$9.00,,,,,,,,
100% DUCK FEATHER,BULK-02,BULK,FEATHER,,$9.00,,,,,,,,
FEATHER & FIBRE,BULK-03,BULK,MIX FILL,,$10.00,,,,,,,,
15% DUCK DOWN 85% DUCK FEATHER,BULK-04,BULK,DOWN,,$18.00,,,,,,,,
30% DUCK DOWN 70% DUCK FEATHER,BULK-05,BULK,DOWN,,$26.00,,,,,,,,
50% DUCK DOWN 50% DUCK FEATHER,BULK-06,BULK,DOWN,,$46.00,,,,,,,,
80% DUCK DOWN 20% DUCK FEATHER,BULK-07,BULK,DOWN,,$81.00,,,,,,,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK-08,BULK,DOWN,,$135.00,,,,,,,,
FEATHER/FIBRE/DOWN,BULK-09,BULK,MIX FILL,,$35.00,,,,,,,,
230CM COTTON JAPARA,BULK-10,BULK,JAPARA,,$10.00,,,,,,,,
Bolster 120cm long x 18cm dia. Feather & Fibre,INSTERS-320,INSERTS,Duck Feather ,,$28.00,,,,,,,,
30 x 50cm d/feather inserts,INSTERS-319,INSERTS,Duck Feather ,,$9.45,,,,,,,,
40 x 80cm d/feather inserts,INSTERS-318,INSERTS,Duck Feather ,,$13.65,,,,,,,,
45cm round d/feather insert,INSTERS-317,INSERTS,Duck Feather ,,$10.50,,,,,,,,
50 x 50cm d/feather inserts,INSTERS-316,INSERTS,Duck Feather ,,$9.45,,,,,,,,
55 x 55cm duck feather insert,INSTERS-315,INSERTS,Duck Feather ,,$10.50,,,,,,,,
60 x 60cm d/feather inserts,INSTERS-314,INSERTS,Duck Feather ,,$12.60,,,,,,,,
65 x 40cm d/feather inserts,INSTERS-313,INSERTS,Duck Feather ,,$12.60,,,,,,,,
60cm long x 18cm diam d/feather bolster,INSTERS-312,INSERTS,Duck Feather ,,$17.85,,,,,,,,
30X55CM - (34X58CM),INSTERS-01,INSERTS,Duck Feather - Foam,Normal,$16.00,,,,,,,,
30X55CM - (34X58CM),INSTERS-02,INSERTS,Duck Feather - Foam,Firm Fill,$16.60,,,,,,,,
30X55CM - (34X58CM),INSTERS-03,INSERTS,Duck Feather - Foam,Extra Firm Fill,$17.20,,,,,,,,
30X55CM - (34X58CM),INSTERS-04,INSERTS,Duck Feather - Fibre,Normal,$16.00,,,,,,,,
30X55CM - (34X58CM),INSTERS-05,INSERTS,Duck Feather - Fibre,Firm Fill,$16.60,,,,,,,,
30X55CM - (34X58CM),INSTERS-06,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$17.20,,,,,,,,
30X55CM - (34X58CM),INSTERS-07,INSERTS,100% Polyester,Normal,$16.00,,,,,,,,
30X55CM - (34X58CM),INSTERS-08,INSERTS,100% Polyester,Firm Fill,$16.60,,,,,,,,
30X55CM - (34X58CM),INSTERS-09,INSERTS,100% Polyester,Extra Firm Fill,$17.20,,,,,,,,
30X55CM - (34X58CM),INSTERS-10,INSERTS,30% Down 70% Feather,Normal,$27.50,,,,,,,,
30X55CM - (34X58CM),INSTERS-11,INSERTS,30% Down 70% Feather,Firm Fill,$30.10,,,,,,,,
30X55CM - (34X58CM),INSTERS-12,INSERTS,30% Down 70% Feather,Extra Firm Fill,$32.70,,,,,,,,
30X55CM - (34X58CM),INSTERS-13,INSERTS,50% Down 50% Feather,Normal,$36.80,,,,,,,,
