Product Name,Category,SKU,Filling,Weight,Customer Price,,,,,,,,
DUCK FEATHER & FOAM,BULK,LM-01,MIX FILL,,$9.00,,,,,,,,
100% DUCK FEATHER,BULK,LM0,FEATHER,,$9.00,,,,,,,,
FEATHER & FIBRE,BULK,LM1,MIX FILL,,$10.00,,,,,,,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,LM2,DOWN,,$18.00,,,,,,,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,LM3,DOWN,,$26.00,,,,,,,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,LM4,DOWN,,$46.00,,,,,,,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,LM5,DOWN,,$81.00,,,,,,,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,LM6,DOWN,,$135.00,,,,,,,,
FEATHER/FIBRE/DOWN,BULK,LM7,MIX FILL,,$35.00,,,,,,,,
230CM COTTON JAPARA,BULK,LM8,JAPARA,,$10.00,,,,,,,,
SINGLE BED CASSETTE CASE,CASES,LM9,CASES,,$24.00,,,,,,,,
DOUBLE BED CASSETTE CASE,CASES,LM10,CASES,,$30.00,,,,,,,,
QUEEN CASSETTE CASE,CASES,LM11,CASES,,$35.00,,,,,,,,
KING CASSETTE CASE,CASES,LM12,CASES,,$40.00,,,,,,,,
SUPER KING CASSETTE CASE,CASES,LM13,CASES,,$52.00,,,,,,,,
SINGLE BED CHANNEL CASE,CASES,LM14,CASES,,$24.00,,,,,,,,
DOUBLE BED CHANNEL CASE,CASES,LM15,CASES,,$30.00,,,,,,,,
QUEEN CHANNEL CASE,CASES,LM16,CASES,,$35.00,,,,,,,,
KING CHANNEL CASE,CASES,LM17,CASES,,$40.00,,,,,,,,
SUPER KING CHANNEL CASE,CASES,LM18,CASES,,$50.00,,,,,,,,
Bolster 120cm long x 18cm dia. Feather & Fibre,INSERTS,LM19,Duck Feather ,,$28.00,,,,,,,,
30 x 50cm d/feather inserts,INSERTS,LM20,Duck Feather ,,$9.45,,,,,,,,
40 x 80cm d/feather inserts,INSERTS,LM21,Duck Feather ,,$13.65,,,,,,,,
45cm round d/feather insert,INSERTS,LM22,Duck Feather ,,$10.50,,,,,,,,
50 x 50cm d/feather inserts,INSERTS,LM23,Duck Feather ,,$9.45,,,,,,,,
55 x 55cm duck feather insert,INSERTS,LM24,Duck Feather ,,$10.50,,,,,,,,
60 x 60cm d/feather inserts,INSERTS,LM25,Duck Feather ,,$12.60,,,,,,,,
65 x 40cm d/feather inserts,INSERTS,LM26,Duck Feather ,,$12.60,,,,,,,,
60cm long x 18cm diam d/feather bolster,INSERTS,LM27,Duck Feather ,,$17.85,,,,,,,,
SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM28,Duck,,$71.00,,,,,,,,
SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM29,Goose,,$88.00,,,,,,,,
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM30,Duck,,$100.50,,,,,,,,
DOUBLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM31,Goose,,$110.00,,,,,,,,
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM32,Duck,,$100.50,,,,,,,,
KING SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM33,Goose,,$110.00,,,,,,,,
QUEEN - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM34,Duck,,$106.50,,,,,,,,
QUEEN - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM35,Goose,,$133.00,,,,,,,,
KING - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM36,Duck,,$120.50,,,,,,,,
KING - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,LM37,Goose,,$156.50,,,,,,,,
DOUBLE - MICROSOFT,MICROSOFT,LM38,Polyester,,$45.00,,,,,,,,
KING - MICROSOFT,MICROSOFT,LM39,Polyester,,$56.00,,,,,,,,
QUEEN - MICROSOFT,MICROSOFT,LM40,Polyester,,$50.00,,,,,,,,
SINGLE - MICROSOFT,MICROSOFT,LM41,Polyester,,$35.00,,,,,,,,
STANDARD 100% FEATHER PILLOW,PIPED PILLOWS,LM42,100% Feather,Duck,$20.00,,,,,,,,
STANDARD 30% DUCK DOWN PILLOW,PIPED PILLOWS,LM43,30% Down 70% Feather,Duck,$32.00,,,,,,,,
STANDARD 50% DUCK DOWN PILLOW,PIPED PILLOWS,LM44,50% Down 50% Feather,Duck,$40.00,,,,,,,,
STANDARD 80% DUCK DOWN PILLOW,PIPED PILLOWS,LM45,80% Down 20% Feather,Duck,$60.00,,,,,,,,
STANDARD 80% GOOSE DOWN PILLOW,PIPED PILLOWS,LM46,80% Down 20% Feather,Goose,$95.00,,,,,,,,
QUEEN 100% FEATHER PILLOW,PIPED PILLOWS,LM47,100% Feather,Duck,$25.00,,,,,,,,
QUEEN 30% DUCK DOWN PILLOW,PIPED PILLOWS,LM48,30% Down 70% Feather,Duck,$51.00,,,,,,,,
QUEEN 50% DUCK DOWN PILLOW,PIPED PILLOWS,LM49,50% Down 50% Feather,Duck,$65.00,,,,,,,,
QUEEN 80% DUCK DOWN PILLOW,PIPED PILLOWS,LM50,80% Down 20% Feather,Duck,$87.50,,,,,,,,
QUEEN 80% GOOSE DOWN PILLOW,PIPED PILLOWS,LM51,80% Down 20% Feather,Goose,$120.00,,,,,,,,
KING 100% FEATHER PILLOW,PIPED PILLOWS,LM52,100% Feather,Duck,$25.00,,,,,,,,
KING 30% DUCK DOWN PILLOW,PIPED PILLOWS,LM53,30% Down 70% Feather,Duck,$51.00,,,,,,,,
KING 50% DUCK DOWN PILLOW,PIPED PILLOWS,LM54,50% Down 50% Feather,Duck,$65.00,,,,,,,,
KING 80% DUCK DOWN PILLOW,PIPED PILLOWS,LM55,80% Down 20% Feather,Duck,$87.50,,,,,,,,
KING 80% GOOSE DOWN PILLOW,PIPED PILLOWS,LM56,80% Down 20% Feather,Goose,$120.00,,,,,,,,
EURO 100% FEATHER PILLOW,PIPED PILLOWS,LM57,100% Feather,Duck,$25.00,,,,,,,,
EURO 30% DUCK DOWN PILLOW,PIPED PILLOWS,LM58,30% Down 70% Feather,Duck,$51.00,,,,,,,,
EURO 50% DUCK DOWN PILLOW,PIPED PILLOWS,LM59,50% Down 50% Feather,Duck,$65.00,,,,,,,,
EURO 80% DUCK DOWN PILLOW,PIPED PILLOWS,LM60,80% Down 20% Feather,Duck,$87.50,,,,,,,,
EURO 80% GOOSE DOWN PILLOW,PIPED PILLOWS,LM61,80% Down 20% Feather,Goose,$120.00,,,,,,,,
SINGLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,LM62,Duck,,$136.50,,,,,,,,
SINGLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,LM63,Goose,,$180.00,,,,,,,,
DOUBLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,LM64,Duck,,$159.00,,,,,,,,
DOUBLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,LM65,Goose,,$205.00,,,,,,,,
