Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
DUCK FEATHER & FOAM,MW-01,BULK,MIX FILL,,$9.00,,,,,,,
100% DUCK FEATHER,MW0,BULK,FEATHER,,$9.00,,,,,,,
FEATHER & FIBRE,MW1,BULK,MIX FILL,,$10.00,,,,,,,
15% DUCK DOWN 85% DUCK FEATHER,MW2,BULK,DOWN,,$18.00,,,,,,,
30% DUCK DOWN 70% DUCK FEATHER,MW3,BULK,DOWN,,$26.00,,,,,,,
50% DUCK DOWN 50% DUCK FEATHER,MW4,BULK,DOWN,,$46.00,,,,,,,
80% DUCK DOWN 20% DUCK FEATHER,MW5,BULK,DOWN,,$81.00,,,,,,,
80% GOOSE DOWN 20% GOOSE FEATHER,MW6,BULK,DOWN,,$135.00,,,,,,,
FEATHER/FIBRE/DOWN,MW7,BULK,MIX FILL,,$35.00,,,,,,,
230CM COTTON JAPARA,MW8,BULK,JAPARA,,$10.00,,,,,,,
SINGLE - 4 SEASONS 80% GOOSE DOWN,MW9,4 SEASONS FILLED,Goose,,$170.50,,,,,,,
DOUBLE - 4 SEASONS 80% GOOSE DOWN,MW10,4 SEASONS FILLED,Goose,,$199.00,,,,,,,
QUEEN - 4 SEASONS 80% GOOSE DOWN,MW11,4 SEASONS FILLED,Goose,,$232.00,,,,,,,
KING - 4 SEASONS 80% GOOSE DOWN,MW12,4 SEASONS FILLED,Goose,,$259.50,,,,,,,
SUPER KING - 4 SEASONS 80% GOOSE DOWN,MW13,4 SEASONS FILLED,Goose,,$335.50,,,,,,,
SINGLE - 80% GOOSE DOWN WINTER,MW14,80% WINTER FILLED,Goose,,$152.50,,,,,,,
DOUBLE - 80% GOOSE DOWN WINTER,MW15,80% WINTER FILLED,Goose,,$179.00,,,,,,,
QUEEN - 80% GOOSE DOWN WINTER,MW16,80% WINTER FILLED,Goose,,$204.50,,,,,,,
KING - 80% GOOSE DOWN WINTER,MW17,80% WINTER FILLED,Goose,,$234.50,,,,,,,
SUPER KING - 80% GOOSE DOWN WINTER,MW18,80% WINTER FILLED,Goose,,$326.00,,,,,,,
SINGLE - 50% DUCK DOWN MID WARM,MW19,50% MID WARM FILLED,Duck,,$63.50,,,,,,,
DOUBLE - 50% DUCK DOWN MID WARM,MW20,50% MID WARM FILLED,Duck,,$75.50,,,,,,,
QUEEN - 50% DUCK DOWN MID WARM,MW21,50% MID WARM FILLED,Duck,,$88.00,,,,,,,
KING - 50% DUCK DOWN MID WARM,MW22,50% MID WARM FILLED,Duck,,$98.50,,,,,,,
SUPER KING - 50% DUCK DOWN MID WARM,MW23,50% MID WARM FILLED,Duck,,$127.00,,,,,,,
SINGLE - 80% DUCK DOWN MID WARM,MW24,80% MID WARM FILLED,Duck,,$88.00,,,,,,,
DOUBLE - 80% DUCK DOWN MID WARM,MW25,80% MID WARM FILLED,Duck,,$103..50,,,,,,,
QUEEN - 80% DUCK DOWN MID WARM,MW26,80% MID WARM FILLED,Duck,,$120.50,,,,,,,
KING - 80% DUCK DOWN MID WARM,MW27,80% MID WARM FILLED,Duck,,$133.50,,,,,,,
SUPER KING - 80% DUCK DOWN MID WARM,MW28,80% MID WARM FILLED,Duck,,$175.00,,,,,,,
SINGLE - 80% GOOSE DOWN MID WARM,MW29,80% MID WARM FILLED,Goose,,$140.00,,,,,,,
DOUBLE - 80% GOOSE DOWN MID WARM,MW30,80% MID WARM FILLED,Goose,,$160.50,,,,,,,
QUEEN - 80% GOOSE DOWN MID WARM,MW31,80% MID WARM FILLED,Goose,,$182.00,,,,,,,
KING - 80% GOOSE DOWN MID WARM,MW32,80% MID WARM FILLED,Goose,,$206.00,,,,,,,
SUPER KING - 80% GOOSE DOWN MID WARM,MW33,80% MID WARM FILLED,Goose,,$294.00,,,,,,,
Cot Quilt 80% Duck Down 100 x 143cm,MW34,80% DUCK COT FILLED,Duck,,$70.00,,,,,,,
SINGLE - 80% DUCK DOWN SUMMER,MW35,80% DUCK SUMMER FILLED,Duck,,$70.50,,,,,,,
DOUBLE - 80% DUCK DOWN SUMMER,MW36,80% DUCK SUMMER FILLED,Duck,,$80.50,,,,,,,
QUEEN - 80% DUCK DOWN SUMMER,MW37,80% DUCK SUMMER FILLED,Duck,,$95.00,,,,,,,
KING - 80% DUCK DOWN SUMMER,MW38,80% DUCK SUMMER FILLED,Duck,,$104.00,,,,,,,
SUPER KING - 80% DUCK DOWN SUMMER,MW39,80% DUCK SUMMER FILLED,Duck,,$139.00,,,,,,,
STANDARD 100% FEATHER PILLOW,MW40,PIPED PILLOWS,100% Feather,,20,,,,,,,
KING 100% FEATHER PILLOW,MW41,PIPED PILLOWS,100% Feather,,25,,,,,,,
STANDARD 30% DUCK DOWN PILLOW,MW42,PIPED PILLOWS,30% Down 70% Feather,,32,,,,,,,
KING 30% DUCK DOWN PILLOW,MW43,PIPED PILLOWS,30% Down 70% Feather,,51,,,,,,,
STANDARD 50% DUCK DOWN PILLOW,MW44,PIPED PILLOWS,50% Down 50% Feather,,40,,,,,,,
KING 50% DUCK DOWN PILLOW,MW45,PIPED PILLOWS,50% Down 50% Feather,,65,,,,,,,
STANDARD 80% DUCK DOWN PILLOW,MW46,PIPED PILLOWS,80% Down 20% Feather,,60,,,,,,,
KING 80% DUCK DOWN PILLOW,MW47,PIPED PILLOWS,80% Down 20% Feather,,87.5,,,,,,,
STANDARD 80% GOOSE DOWN PILLOW,MW48,PIPED PILLOWS,80% Down 20% Feather,,95,,,,,,,
KING 80% GOOSE DOWN PILLOW,MW49,PIPED PILLOWS,80% Down 20% Feather,,120,,,,,,,
STANDARD CHAMBER PILLOW - 50% DUCK DOWN,MW50,CHAMBER PILLOW,Duck,,$32.00,,,,,,,
STANDARD CHAMBER PILLOW - 80% DUCK DOWN,MW51,CHAMBER PILLOW,Duck,,$40.00,,,,,,,
STANDARD 80% HUNGARIAN PILLOW,MW52,STRIP PILLOW,Hungarian,,$105.00,,,,,,,
SB ULTRA WARM 80% GOOSE DOWN,MW53,80% WINTER FILLED,Goose,,$152.50,,,,,,,
DB ULTRA WARM 80% GOOSE DOWN,MW54,80% WINTER FILLED,Goose,,$179.00,,,,,,,
QS ULTRA WARM 80% GOOSE DOWN,MW55,80% WINTER FILLED,Goose,,$204.50,,,,,,,
KS ULTRA WARM 80% GOOSE DOWN,MW56,80% WINTER FILLED,Goose,,$234.50,,,,,,,
SKS ULTRA WARM 80% GOOSE DOWN,MW57,80% WINTER FILLED,Goose,,$326.00,,,,,,,
30X55CM,MW58,INSERTS,100% Feather,Normal,$14.50,,,,,,,
30X55CM,MW59,INSERTS,100% Feather,Firm Fill,15.1,,,,,,,
30X55CM,MW60,INSERTS,100% Feather,Extra Firm Fill,15.7,,,,,,,
30X55CM,MW61,INSERTS,Duck Feather - Foam,Normal,$16.00,,,,,,,
30X55CM,MW62,INSERTS,Duck Feather - Foam,Firm Fill,16.6,,,,,,,
30X55CM,MW63,INSERTS,Duck Feather - Foam,Extra Firm Fill,17.2,,,,,,,
30X55CM,MW64,INSERTS,Duck Feather - Fibre,Normal,$16.00,,,,,,,
30X55CM,MW65,INSERTS,Duck Feather - Fibre,Firm Fill,16.6,,,,,,,
30X55CM,MW66,INSERTS,Duck Feather - Fibre,Extra Firm Fill,17.2,,,,,,,
30X55CM,MW67,INSERTS,100% Polyester,Normal,$16.00,,,,,,,
30X55CM,MW68,INSERTS,100% Polyester,Firm Fill,16.6,,,,,,,
30X55CM,MW69,INSERTS,100% Polyester,Extra Firm Fill,17.2,,,,,,,
30X55CM,MW70,INSERTS,30% Down 70% Feather,Normal,$27.50,,,,,,,
30X55CM,MW71,INSERTS,30% Down 70% Feather,Firm Fill,30.1,,,,,,,
30X55CM,MW72,INSERTS,30% Down 70% Feather,Extra Firm Fill,32.7,,,,,,,
30X55CM,MW73,INSERTS,50% Down 50% Feather,Normal,$36.80,,,,,,,
30X55CM,MW74,INSERTS,50% Down 50% Feather,Firm Fill,39.4,,,,,,,
30X55CM,MW75,INSERTS,50% Down 50% Feather,Extra Firm Fill,42,,,,,,,
30X55CM,MW76,INSERTS,80% Down 20% Feather,Normal,$52.50,,,,,,,
30X55CM,MW77,INSERTS,80% Down 20% Feather,Firm Fill,55.1,,,,,,,
30X55CM,MW78,INSERTS,80% Down 20% Feather,Extra Firm Fill,57.7,,,,,,,
40X40CM,MW79,INSERTS,100% Feather,Normal,$9.20,,,,,,,
40X40CM,MW80,INSERTS,100% Feather,Firm Fill,9.8,,,,,,,
40X40CM,MW81,INSERTS,100% Feather,Extra Firm Fill,10.4,,,,,,,
40X40CM,MW82,INSERTS,Duck Feather - Foam,Normal,$11.00,,,,,,,
40X40CM,MW83,INSERTS,Duck Feather - Foam,Firm Fill,11.6,,,,,,,
40X40CM,MW84,INSERTS,Duck Feather - Foam,Extra Firm Fill,12.2,,,,,,,
40X40CM,MW85,INSERTS,Duck Feather - Fibre,Normal,$11.00,,,,,,,
40X40CM,MW86,INSERTS,Duck Feather - Fibre,Firm Fill,11.6,,,,,,,
40X40CM,MW87,INSERTS,Duck Feather - Fibre,Extra Firm Fill,12.2,,,,,,,
40X40CM,MW88,INSERTS,100% Polyester,Normal,$11.00,,,,,,,
40X40CM,MW89,INSERTS,100% Polyester,Firm Fill,11.6,,,,,,,
