Category,Product,Filling,Weight,Price
4 SEASONS FILLED,DOUBLE - 4 SEASONS 80% GOOSE DOWN,Goose,,$205.00
4 SEASONS FILLED,KING - 4 SEASONS 80% GOOSE DOWN,Goose,,$245.00
4 SEASONS FILLED,QUEEN - 4 SEASONS 80% GOOSE DOWN,Goose,,$340.00
4 SEASONS FILLED,SINGLE - 4 SEASONS 80% GOOSE DOWN,Goose,,$105.00
4 SEASONS FILLED,SUPER KING - 4 SEASONS 80% GOOSE DOWN,Goose,,$70.00
50% MID WARM FILLED,DOUBLE - 50% DUCK DOWN MID WARM,Duck,,$70.00
50% MID WARM FILLED,KING - 50% DUCK DOWN MID WARM,Duck,,$80.50
50% MID WARM FILLED,QUEEN - 50% DUCK DOWN MID WARM,Duck,,$104.00
50% MID WARM FILLED,SINGLE - 50% DUCK DOWN MID WARM,Duck,,$95.00
50% MID WARM FILLED,SUPER KING - 50% DUCK DOWN MID WARM,Duck,,$70.50
80% DUCK COT FILLED,Cot Quilt 80% Duck Down 100 x 143cm,Duck,,$139.00
80% DUCK SUMMER FILLED,DOUBLE - 80% DUCK DOWN SUMMER,Duck,,$110.00
80% DUCK SUMMER FILLED,KING - 80% DUCK DOWN SUMMER,Duck,,$173.00
80% DUCK SUMMER FILLED,QUEEN - 80% DUCK DOWN SUMMER,Duck,,$140.50
80% DUCK SUMMER FILLED,SINGLE - 80% DUCK DOWN SUMMER,Duck,,$224.50
80% DUCK SUMMER FILLED,SUPER KING - 80% DUCK DOWN SUMMER,Duck,,$127.50
80% MID WARM FILLED,DOUBLE - 80% DUCK DOWN MID WARM,Duck,,$197.00
80% MID WARM FILLED,DOUBLE - 80% GOOSE DOWN MID WARM,Goose,,$95.00
80% MID WARM FILLED,KING - 80% DUCK DOWN MID WARM,Duck,,$149.00
80% MID WARM FILLED,KING - 80% GOOSE DOWN MID WARM,Goose,,$182.00
80% MID WARM FILLED,QUEEN - 80% DUCK DOWN MID WARM,Duck,,$309.50
80% MID WARM FILLED,QUEEN - 80% GOOSE DOWN MID WARM,Goose,,$70.00
80% MID WARM FILLED,SINGLE - 80% DUCK DOWN MID WARM,Duck,,$70.00
80% MID WARM FILLED,SINGLE - 80% GOOSE DOWN MID WARM,Goose,,$81.00
80% MID WARM FILLED,SUPER KING - 80% DUCK DOWN MID WARM,Duck,,$81.00
80% MID WARM FILLED,SUPER KING - 80% GOOSE DOWN MID WARM,Goose,,$56.00
BLANKETS,Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,Khaki Blanket,,$56.00
BLANKETS,Double/Queen 230 x 240cms 450gms - SILVER BLANKET,Silver Blanket,,$9.00
BLANKETS,King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,Khaki Blanket,,$18.00
BLANKETS,King/Super King 270 x 240cms 535 gms - SILVER BLANKET,Silver Blanket,,$10.00
BLANKETS,Single/ King Single 180 x 230gms 300gms - KHAKI BLANKET,Khaki Blanket,,$26.00
BLANKETS,Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,Silver Blanket,,$46.00
BULK LOOSE FILLING,100% DUCK FEATHER,FEATHER,,$81.00
BULK LOOSE FILLING,15% DUCK DOWN 85% DUCK FEATHER,DOWN,,$135.00
BULK LOOSE FILLING,230CM COTTON JAPARA,JAPARA,,$9.00
BULK LOOSE FILLING,30% DUCK DOWN 70% DUCK FEATHER,DOWN,,$10.00
BULK LOOSE FILLING,50% DUCK DOWN 50% DUCK FEATHER,DOWN,,$35.00
BULK LOOSE FILLING,80% DUCK DOWN 20% DUCK FEATHER,DOWN,,$32.00
BULK LOOSE FILLING,80% GOOSE DOWN 20% GOOSE FEATHER,DOWN,,$40.00
BULK LOOSE FILLING,DUCK FEATHER & FOAM,MIX FILL,,$105.00
BULK LOOSE FILLING,FEATHER & FIBRE,MIX FILL,,$15.70
BULK LOOSE FILLING,FEATHER/FIBRE/DOWN,MIX FILL,,$15.10
CHAMBER PILLOW,STANDARD CHAMBER PILLOW - 50% DUCK DOWN,Duck,,$14.50
CHAMBER PILLOW,STANDARD CHAMBER PILLOW - 80% DUCK DOWN,Duck,,$17.20
HUNGARIAN PILLOW,STANDARD 80% HUNGARIAN PILLOW,Hungarian,,$16.60
INSERTS,30X55CM,100% Feather,Extra Firm Fill,$16.00
INSERTS,30X55CM,100% Feather,Firm Fill,$32.70
INSERTS,30X55CM,100% Feather,Normal,$30.10
INSERTS,30X55CM,100% Polyester,Extra Firm Fill,$27.50
INSERTS,30X55CM,100% Polyester,Firm Fill,$42.00
INSERTS,30X55CM,100% Polyester,Normal,$39.40
INSERTS,30X55CM,30% Down 70% Feather,Extra Firm Fill,$36.80
INSERTS,30X55CM,30% Down 70% Feather,Firm Fill,$57.70
INSERTS,30X55CM,30% Down 70% Feather,Normal,$55.10
INSERTS,30X55CM,50% Down 50% Feather,Extra Firm Fill,$52.50
INSERTS,30X55CM,50% Down 50% Feather,Firm Fill,$17.20
INSERTS,30X55CM,50% Down 50% Feather,Normal,$16.60
INSERTS,30X55CM,80% Down 20% Feather,Extra Firm Fill,$16.00
INSERTS,30X55CM,80% Down 20% Feather,Firm Fill,$17.20
INSERTS,30X55CM,80% Down 20% Feather,Normal,$16.60
INSERTS,30X55CM,Duck Feather - Fibre,Extra Firm Fill,$16.00
INSERTS,30X55CM,Duck Feather - Fibre,Firm Fill,$10.40
INSERTS,30X55CM,Duck Feather - Fibre,Normal,$9.80
INSERTS,30X55CM,Duck Feather - Foam,Extra Firm Fill,$9.20
INSERTS,30X55CM,Duck Feather - Foam,Firm Fill,$12.20
INSERTS,30X55CM,Duck Feather - Foam,Normal,$11.60
INSERTS,40X40CM,100% Feather,Extra Firm Fill,$11.00
INSERTS,40X40CM,100% Feather,Firm Fill,$24.20
INSERTS,40X40CM,100% Feather,Normal,$21.60
INSERTS,40X40CM,100% Polyester,Extra Firm Fill,$19.00
INSERTS,40X40CM,100% Polyester,Firm Fill,$32.20
INSERTS,40X40CM,100% Polyester,Normal,$29.60
INSERTS,40X40CM,30% Down 70% Feather,Extra Firm Fill,$27.00
INSERTS,40X40CM,30% Down 70% Feather,Firm Fill,$49.20
INSERTS,40X40CM,30% Down 70% Feather,Normal,$46.60
INSERTS,40X40CM,50% Down 50% Feather,Extra Firm Fill,$44.00
INSERTS,40X40CM,50% Down 50% Feather,Firm Fill,$12.20
INSERTS,40X40CM,50% Down 50% Feather,Normal,$11.60
INSERTS,40X40CM,80% Down 20% Feather,Extra Firm Fill,$11.00
INSERTS,40X40CM,80% Down 20% Feather,Firm Fill,$12.20
INSERTS,40X40CM,80% Down 20% Feather,Normal,$11.60
INSERTS,40X40CM,Duck Feather - Fibre,Extra Firm Fill,$11.00
INSERTS,40X40CM,Duck Feather - Fibre,Firm Fill,$20.20
INSERTS,40X40CM,Duck Feather - Fibre,Normal,$19.60
INSERTS,40X40CM,Duck Feather - Foam,Extra Firm Fill,$19.00
INSERTS,40X40CM,Duck Feather - Foam,Firm Fill,$22.45
INSERTS,40X40CM,Duck Feather - Foam,Normal,$21.85
INSERTS,40X80CM,100% Feather,Extra Firm Fill,$21.25
INSERTS,40X80CM,100% Feather,Firm Fill,$48.20
INSERTS,40X80CM,100% Feather,Normal,$45.60
INSERTS,40X80CM,100% Polyester,Extra Firm Fill,$43.00
INSERTS,40X80CM,100% Polyester,Firm Fill,$73.60
INSERTS,40X80CM,100% Polyester,Normal,$71.00
INSERTS,40X80CM,30% Down 70% Feather,Extra Firm Fill,$68.40
INSERTS,40X80CM,30% Down 70% Feather,Firm Fill,$88.20
INSERTS,40X80CM,30% Down 70% Feather,Normal,$85.60
INSERTS,40X80CM,50% Down 50% Feather,Extra Firm Fill,$83.00
INSERTS,40X80CM,50% Down 50% Feather,Firm Fill,$22.45
INSERTS,40X80CM,50% Down 50% Feather,Normal,$21.85
INSERTS,40X80CM,80% Down 20% Feather,Extra Firm Fill,$21.25
INSERTS,40X80CM,80% Down 20% Feather,Firm Fill,$22.45
INSERTS,40X80CM,80% Down 20% Feather,Normal,$21.85
INSERTS,40X80CM,Duck Feather - Fibre,Extra Firm Fill,$21.25
INSERTS,40X80CM,Duck Feather - Fibre,Firm Fill,$11.70
INSERTS,40X80CM,Duck Feather - Fibre,Normal,$11.10
INSERTS,40X80CM,Duck Feather - Foam,Extra Firm Fill,$10.50
INSERTS,40X80CM,Duck Feather - Foam,Firm Fill,$13.20
INSERTS,40X80CM,Duck Feather - Foam,Normal,$12.60
INSERTS,45X45CM,100% Feather,Extra Firm Fill,$12.00
INSERTS,45X45CM,100% Feather,Firm Fill,$28.70
INSERTS,45X45CM,100% Feather,Normal,$26.10
INSERTS,45X45CM,100% Polyester,Extra Firm Fill,$23.50
INSERTS,45X45CM,100% Polyester,Firm Fill,$38.00
INSERTS,45X45CM,100% Polyester,Normal,$35.40
