Product Name,Category,SKU,Filling,Weight,Customer Price,,,,,,,,
DUCK FEATHER & FOAM,BULK,WALTER-01,MIX FILL,,$9.00,,,,,,,,
100% DUCK FEATHER,BULK,WALTER0,FEATHER,,$9.00,,,,,,,,
FEATHER & FIBRE,BULK,WALTER1,MIX FILL,,$10.00,,,,,,,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,WALTER2,DOWN,,$18.00,,,,,,,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,WALTER3,DOWN,,$26.00,,,,,,,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,WALTER4,DOWN,,$46.00,,,,,,,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,WALTER5,DOWN,,$81.00,,,,,,,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,WALTER6,DOWN,,$135.00,,,,,,,,
FEATHER/FIBRE/DOWN,BULK,WALTER7,MIX FILL,,$35.00,,,,,,,,
230CM COTTON JAPARA,BULK,WALTER8,JAPARA,,$10.00,,,,,,,,
SINGLE BED CASSETTE CASE,CASES,WALTER9,CASES,,$24.00,,,,,,,,
DOUBLE BED CASSETTE CASE,CASES,WALTER10,CASES,,$30.00,,,,,,,,
QUEEN CASSETTE CASE,CASES,WALTER11,CASES,,$35.00,,,,,,,,
KING CASSETTE CASE,CASES,WALTER12,CASES,,$40.00,,,,,,,,
SUPER KING CASSETTE CASE,CASES,WALTER13,CASES,,$52.00,,,,,,,,
SINGLE BED CHANNEL CASE,CASES,WALTER14,CASES,,$24.00,,,,,,,,
DOUBLE BED CHANNEL CASE,CASES,WALTER15,CASES,,$30.00,,,,,,,,
QUEEN CHANNEL CASE,CASES,WALTER16,CASES,,$35.00,,,,,,,,
KING CHANNEL CASE,CASES,WALTER17,CASES,,$40.00,,,,,,,,
SUPER KING CHANNEL CASE,CASES,WALTER18,CASES,,$50.00,,,,,,,,
30X45CM,INSERT,WALTER19,100% Feather,,9.45,,,,,,,,
35X55CM,INSERT,WALTER20,100% Feather,,10,,,,,,,,
50X50CM,INSERT,WALTER21,100% Feather,,11,,,,,,,,
55X55CM,INSERT,WALTER22,100% Feather,,13.10,,,,,,,,
SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER23,Duck,,$71.00,,,,,,,,
SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER24,Goose,,$88.00,,,,,,,,
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER25,Duck,,$100.50,,,,,,,,
