Product Name,Category,,Filling,Weight, Customer Price ,,
DUCK FEATHER & FOAM,BULK,PFH-0,MIX FILL,,$9.00,,
100% DUCK FEATHER,BULK,PFH001,FEATHER,,$9.00,,
FEATHER & FIBRE,BULK,PFH002,MIX FILL,,$10.00,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,PFH003,DOWN,,$18.00,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,PFH004,DOWN,,$26.00,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,PFH005,DOWN,,$46.00,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,PFH006,DOWN,,$81.00,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,PFH007,DOWN,,$135.00,,
FEATHER/FIBRE/DOWN,BULK,PFH008,MIX FILL,,$35.00,,
230CM COTTON JAPARA,BULK,PFH009,JAPARA,,$10.00,,
SINGLE BED CASSETTE CASE,CASES,PFH010,CASES,,$24.00,,
DOUBLE BED CASSETTE CASE,CASES,PFH011,CASES,,$30.00,,
QUEEN CASSETTE CASE,CASES,PFH012,CASES,,$35.00,,
KING CASSETTE CASE,CASES,PFH013,CASES,,$40.00,,
SUPER KING CASSETTE CASE,CASES,PFH014,CASES,,$52.00,,
SINGLE BED CHANNEL CASE,CASES,PFH015,CASES,,$24.00,,
DOUBLE BED CHANNEL CASE,CASES,PFH016,CASES,,$30.00,,
QUEEN CHANNEL CASE,CASES,PFH017,CASES,,$35.00,,
KING CHANNEL CASE,CASES,PFH018,CASES,,$40.00,,
SUPER KING CHANNEL CASE,CASES,PFH019,CASES,,$50.00,,
30X55CM,INSERTS,PFH020,Duck Feather - Foam,Normal,$14.50,,
30X55CM,INSERTS,PFH021,Duck Feather - Foam,Firm Fill,$15.10,,
30X55CM,INSERTS,PFH022,Duck Feather - Foam,Extra Firm Fill,$15.70,,
30X55CM,INSERTS,PFH023,Duck Feather - Fibre,Normal,$16.00,,
30X55CM,INSERTS,PFH024,Duck Feather - Fibre,Firm Fill,$16.60,,
30X55CM,INSERTS,PFH025,Duck Feather - Fibre,Extra Firm Fill,$17.20,,
30X55CM,INSERTS,PFH026,100% Polyester,Normal,$16.00,,
30X55CM,INSERTS,PFH027,100% Polyester,Firm Fill,$16.60,,
30X55CM,INSERTS,PFH028,100% Polyester,Extra Firm Fill,$17.20,,
30X55CM,INSERTS,PFH029,30% Down 70% Feather,Normal,$16.00,,
30X55CM,INSERTS,PFH030,30% Down 70% Feather,Firm Fill,$16.60,,
