Product Name,Category,Sku,Filling,Weight, Customer Price ,,
DUCK FEATHER & FOAM,BULK,INTERIOR - 0,MIX FILL,,$9.00,,
100% DUCK FEATHER,BULK,INTERIOR - 1,FEATHER,,$9.00,,
FEATHER & FIBRE,BULK,INTERIOR - 2,MIX FILL,,$10.00,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,INTERIOR - 3,DOWN,,$18.00,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,INTERIOR - 4,DOWN,,$26.00,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,INTERIOR - 5,DOWN,,$46.00,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,INTERIOR - 6,DOWN,,$81.00,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,INTERIOR - 7,DOWN,,$135.00,,
FEATHER/FIBRE/DOWN,BULK,INTERIOR - 8,MIX FILL,,$35.00,,
230CM COTTON JAPARA,BULK,INTERIOR - 9,JAPARA,,$10.00,,
SINGLE BED CASSETTE CASE,CASES,INTERIOR - 10,CASES,,$24.00,,
DOUBLE BED CASSETTE CASE,CASES,INTERIOR - 11,CASES,,$30.00,,
QUEEN CASSETTE CASE,CASES,INTERIOR - 12,CASES,,$35.00,,
KING CASSETTE CASE,CASES,INTERIOR - 13,CASES,,$40.00,,
SUPER KING CASSETTE CASE,CASES,INTERIOR - 14,CASES,,$52.00,,
SINGLE BED CHANNEL CASE,CASES,INTERIOR - 15,CASES,,$24.00,,
DOUBLE BED CHANNEL CASE,CASES,INTERIOR - 16,CASES,,$30.00,,
QUEEN CHANNEL CASE,CASES,INTERIOR - 17,CASES,,$35.00,,
KING CHANNEL CASE,CASES,INTERIOR - 18,CASES,,$40.00,,
SUPER KING CHANNEL CASE,CASES,INTERIOR - 19,CASES,,$50.00,,
30X55CM,INSERTS,INTERIOR - 20,100% Feather,Normal,$14.50,,
30X55CM,INSERTS,INTERIOR - 21,100% Feather,Firm Fill,15.1,,
30X55CM,INSERTS,INTERIOR - 22,100% Feather,Extra Firm Fill,15.7,,
30X55CM,INSERTS,INTERIOR - 23,Duck Feather - Foam,Normal,$14.50,,
30X55CM,INSERTS,INTERIOR - 24,Duck Feather - Foam,Firm Fill,$15.10,,
30X55CM,INSERTS,INTERIOR - 25,Duck Feather - Foam,Extra Firm Fill,$15.70,,
30X55CM,INSERTS,INTERIOR - 26,Duck Feather - Fibre,Normal,$16.00,,
30X55CM,INSERTS,INTERIOR - 27,Duck Feather - Fibre,Firm Fill,$16.60,,
30X55CM,INSERTS,INTERIOR - 28,Duck Feather - Fibre,Extra Firm Fill,$17.20,,
30X55CM,INSERTS,INTERIOR - 29,100% Polyester,Normal,$16.00,,
30X55CM,INSERTS,INTERIOR - 30,100% Polyester,Firm Fill,$16.60,,
30X55CM,INSERTS,INTERIOR - 31,100% Polyester,Extra Firm Fill,$17.20,,
30X55CM,INSERTS,INTERIOR - 32,30% Down 70% Feather,Normal,$16.00,,
30X55CM,INSERTS,INTERIOR - 33,30% Down 70% Feather,Firm Fill,$16.60,,
30X55CM,INSERTS,INTERIOR - 34,30% Down 70% Feather,Extra Firm Fill,$17.20,,
