Product Name,SKU,Category,Filling,Weight,Customer Price
SINGLE - 4 SEASONS FILLED,SEAS-034,4 SEASONS FILLED,Duck,,
SINGLE - 4 SEASONS FILLED,SEAS-034,4 SEASONS FILLED,Goose,,
DOUBLE - 4 SEASONS FILLED,SEAS-035,4 SEASONS FILLED,Duck,,
DOUBLE - 4 SEASONS FILLED,SEAS-035,4 SEASONS FILLED,Goose,,
QUEEN - 4 SEASONS FILLED,SEAS-036,4 SEASONS FILLED,Duck,,
QUEEN - 4 SEASONS FILLED,SEAS-036,4 SEASONS FILLED,Goose,,
KING - 4 SEASONS FILLED,SEAS-037,4 SEASONS FILLED,Duck,,
KING - 4 SEASONS FILLED,SEAS-037,4 SEASONS FILLED,Goose,,
SUPER KING - 4 SEASONS FILLED,SEAS-038,4 SEASONS FILLED,Duck,,
SUPER KING - 4 SEASONS FILLED,SEAS-038,4 SEASONS FILLED,Goose,,
SINGLE - 50% DUCK WINTER FILLED,DUCK-055,50% DUCK WINTER FILLED,,,
DOUBLE - 50% DUCK WINTER FILLED,DUCK-056,50% DUCK WINTER FILLED,,,
QUEEN - 50% DUCK WINTER FILLED,DUCK-057,50% DUCK WINTER FILLED,,,
KING - 50% DUCK WINTER FILLED,DUCK-058,50% DUCK WINTER FILLED,,,
SUPER KING - 50% DUCK WINTER FILLED,DUCK-059,50% DUCK WINTER FILLED,,,
SINGLE - 50% MID WARM FILLED,MIDW-060,50% MID WARM FILLED,,,
DOUBLE - 50% MID WARM FILLED,MIDW-061,50% MID WARM FILLED,,,
QUEEN - 50% MID WARM FILLED,MIDW-062,50% MID WARM FILLED,,,
KING - 50% MID WARM FILLED,MIDW-063,50% MID WARM FILLED,,,
SUPER KING - 50% MID WARM FILLED,MIDW-064,50% MID WARM FILLED,,,
SINGLE - 80% MID WARM FILLED,MIDW-050,80% MID WARM FILLED,Duck,,
SINGLE - 80% MID WARM FILLED,MIDW-050,80% MID WARM FILLED,Goose,,
SINGLE - 80% MID WARM FILLED,MIDW-050,80% MID WARM FILLED,Hungarian,,
DOUBLE - 80% MID WARM FILLED,MIDW-051,80% MID WARM FILLED,Duck,,
DOUBLE - 80% MID WARM FILLED,MIDW-051,80% MID WARM FILLED,Goose,,
