Product Name,Category,SKU,Filling,Weight,Customer Price,,
30X55CM,INSERTS,ECO600,100% Feather,Normal,$14.50,,
30X55CM,INSERTS,ECO601,100% Feather,Firm Fill,15.1,,
30X55CM,INSERTS,ECO602,100% Feather,Extra Firm Fill,15.7,,
30X55CM,INSERTS,ECO603,Duck Feather - Foam,Normal,$16.00,,
30X55CM,INSERTS,ECO604,Duck Feather - Foam,Firm Fill,$16.60,,
30X55CM,INSERTS,ECO605,Duck Feather - Foam,Extra Firm Fill,$17.20,,
30X55CM,INSERTS,ECO606,Duck Feather - Fibre,Normal,$16.00,,
30X55CM,INSERTS,ECO607,Duck Feather - Fibre,Firm Fill,$16.60,,
30X55CM,INSERTS,ECO608,Duck Feather - Fibre,Extra Firm Fill,$17.20,,
30X55CM,INSERTS,ECO609,100% Polyester,Normal,$16.00,,
30X55CM,INSERTS,ECO610,100% Polyester,Firm Fill,$16.60,,
30X55CM,INSERTS,ECO611,100% Polyester,Extra Firm Fill,$17.20,,
30X55CM,INSERTS,ECO612,30% Down 70% Feather,Normal,$27.50,,
30X55CM,INSERTS,ECO613,30% Down 70% Feather,Firm Fill,$30.10,,
30X55CM,INSERTS,ECO614,30% Down 70% Feather,Extra Firm Fill,$32.70,,
30X55CM,INSERTS,ECO615,50% Down 50% Feather,Normal,$36.80,,
30X55CM,INSERTS,ECO616,50% Down 50% Feather,Firm Fill,$39.40,,
30X55CM,INSERTS,ECO617,50% Down 50% Feather,Extra Firm Fill,$42.00,,
30X55CM,INSERTS,ECO618,80% Down 20% Feather,Normal,$52.50,,
30X55CM,INSERTS,ECO619,80% Down 20% Feather,Firm Fill,$55.10,,
30X55CM,INSERTS,ECO620,80% Down 20% Feather,Extra Firm Fill,$57.70,,
40X40CM,INSERTS,ECO621,100% Feather,Normal,$9.20,,
40X40CM,INSERTS,ECO622,100% Feather,Firm Fill,$9.80,,
40X40CM,INSERTS,ECO623,100% Feather,Extra Firm Fill,$10.40,,
40X40CM,INSERTS,ECO624,Duck Feather - Foam,Normal,$11.00,,
40X40CM,INSERTS,ECO625,Duck Feather - Foam,Firm Fill,$11.60,,
40X40CM,INSERTS,ECO626,Duck Feather - Foam,Extra Firm Fill,$12.20,,
40X40CM,INSERTS,ECO627,Duck Feather - Fibre,Normal,$11.00,,
40X40CM,INSERTS,ECO628,Duck Feather - Fibre,Firm Fill,$11.60,,
40X40CM,INSERTS,ECO629,Duck Feather - Fibre,Extra Firm Fill,$12.20,,
40X40CM,INSERTS,ECO630,100% Polyester,Normal,$11.00,,
